% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
111008 +2.534898957e+02 +2.534898957e+02 +3.464298957e+02 +3.464298957e+02 +9.8262e-01 +4.6058e+00 +4.5604e-01 +3.7330e+00 -3.1397e-01 +4.2817e+00 +4.2702e+00 -3.5866e+00 -7.4875e-01 +2.1771e+00 +1.7858e+00 -3.9235e+00 -2.7417e+00 -2.9064e+00 +3.0118e+00 +2.2132e+00 +4.6660e+00 -1.2389e+00 -1.3640e+00 -4.2699e+00
142113 +2.105063040e+02 +2.105063040e+02 +3.034463040e+02 +3.034463040e+02 -1.1317e+00 +3.9512e+00 +2.5911e+00 +3.0787e+00 +2.0015e-01 +4.2272e+00 +3.5478e+00 +2.4614e-01 +3.8478e+00 +4.3644e+00 -1.6314e+00 -3.8028e+00 +6.1891e-01 -2.1862e+00 +1.3727e+00 -2.5641e+00 +1.8454e+00 -3.9388e-01 +3.2862e+00 -3.9948e+00
355930 +1.477223271e+02 +1.477223271e+02 +2.406623271e+02 +2.406623271e+02 +5.6454e-02 -1.6408e+00 +2.0908e+00 +3.2648e+00 +4.1500e+00 +3.2332e+00 +1.0005e+00 -2.0279e+00 +3.4694e+00 +4.5870e+00 -6.2409e-01 -1.0449e+00 +1.9512e+00 +2.0391e+00 +3.8212e-02 +8.8276e-01 +3.5340e+00 -1.8831e+00 +1.9059e+00 -1.8812e+00
1024157 +1.226812679e+02 +1.226812679e+02 +2.156212679e+02 +2.156212679e+02 +1.0976e+00 +1.4454e+00 -4.1604e+00 +3.2203e+00 -4.3349e-02 +2.9874e+00 +2.2366e+00 -1.1763e+00 +3.7904e+00 +2.8365e+00 +1.3680e+00 -3.7031e+00 -3.1137e+00 -6.5230e-02 +4.5944e+00 +6.0161e-01 +4.5354e+00 -4.9687e+00 -1.0472e+00 +6.4959e-01
1838215 +1.138834193e+02 +1.138834193e+02 +2.068234193e+02 +2.068234193e+02 -3.8637e+00 +2.0440e+00 +1.1751e+00 +4.3428e+00 +1.2149e+00 +3.6040e+00 +3.3163e+00 -1.1140e+00 +3.9908e+00 +1.4323e+00 -2.3123e+00 -4.8357e+00 +2.5237e+00 +2.5135e+00 +9.5526e-01 +4.0695e+00 +2.4262e+00 -1.5919e+00 +1.4181e+00 +2.1653e+00
59994849 +9.677926631e+01 +9.677926631e+01 +1.897192663e+02 +1.897192663e+02 -1.8858e-01 +3.6344e+00 +4.3908e-01 +3.0909e+00 +7.5302e-01 +2.8806e+00 +6.2102e-01 -2.3888e+00 +1.9684e+00 +1.9191e+00 +2.3375e+00 -2.7822e+00 -1.6232e+00 -1.9707e+00 -4.9281e-01 +2.7078e+00 +4.9127e+00 -1.6413e+00 +3.0998e+00 -2.4022e+00
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.578129375e+03 +4.578129375e+03 +4.613479375e+03 +4.613479375e+03 -1.7811e+00 +2.2097e+00 -1.3289e+00 +4.5086e+00 -3.8347e+00 +2.4393e+00 -3.4753e+00 +7.0186e-01 +2.3505e+00 -4.0440e+00 -5.8670e-01 +4.6215e+00 -1.6521e+00 -3.6781e+00 -6.6908e-01 +3.1409e+00 +4.9485e+00 +4.0391e+00 -1.3432e+00 +4.6431e+00
2 +4.084853335e+03 +4.084853335e+03 +4.120203335e+03 +4.120203335e+03 -2.0686e+00 +1.1688e+00 +3.3639e+00 +3.4675e+00 -2.7623e-01 +4.9802e+00 -1.7134e+00 -1.1350e+00 +1.0259e+00 -4.3856e+00 -2.7825e+00 +4.4962e-01 -4.7757e+00 +4.6567e+00 -7.0226e-01 +4.5235e+00 -1.4265e+00 +3.0264e+00 +1.7035e+00 -2.2502e+00
4 +3.812218318e+03 +3.812218318e+03 +3.847568318e+03 +3.847568318e+03 -2.2622e+00 +4.3600e+00 -4.8651e+00 +2.6427e+00 -1.9749e+00 -4.2839e+00 -2.6569e-01 -6.1419e-01 +8.2874e-02 +1.7356e+00 +4.8795e+00 +1.7106e+00 -7.2665e-01 +5.7569e-01 +7.9323e-01 +1.1186e+00 +2.2975e+00 +2.5503e-01 +3.0836e+00 +1.2721e+00
6 +1.788704192e+03 +1.788704192e+03 +1.824054192e+03 +1.824054192e+03 +2.6286e+00 +3.4476e+00 -1.3453e+00 -3.5653e+00 -7.4620e-01 -1.8007e+00 -1.3873e+00 -4.9467e+00 -4.7859e+00 -3.0091e+00 -7.0390e-01 -4.7245e+00 +3.8907e+00 +8.0943e-01 +2.3565e-01 -2.9597e+00 +1.8835e-02 +3.1811e+00 +2.2685e+00 +5.0689e-01
18 +1.473727680e+03 +1.473727680e+03 +1.509077680e+03 +1.509077680e+03 +2.1156e-01 -3.3221e+00 +3.7633e+00 +3.7510e+00 -8.5773e-01 -3.3632e+00 -4.5226e+00 -3.0677e+00 -4.9484e+00 -1.2274e+00 -2.7101e-01 -2.0016e+00 +3.7073e+00 +2.7939e+00 +6.3566e-01 -1.4867e+00 +2.0671e-01 +3.4511e+00 +1.2802e+00 -1.6377e+00
23 +1.436722294e+03 +1.436722294e+03 +1.472072294e+03 +1.472072294e+03 -2.3658e+00 -1.5170e+00 -1.4702e+00 +3.3475e+00 -4.5534e+00 +9.0614e-01 +2.6660e+00 +2.9656e+00 -1.2826e+00 -2.8885e+00 -4.8893e+00 +3.9883e+00 +3.0310e+00 +3.4649e+00 -4.3526e+00 -4.8180e+00 -1.2495e+00 +4.9735e+00 +1.7235e+00 +1.5600e+00
39 +1.077543074e+03 +1.077543074e+03 +1.112893074e+03 +1.112893074e+03 +2.7659e+00 +3.1458e+00 +1.8838e-01 +4.5722e+00 +1.9776e+00 -1.8587e+00 +1.4727e+00 +1.1012e+00 -3.6534e+00 -4.7230e+00 -1.7040e+00 -4.7903e+00 -3.4342e-01 +2.3425e+00 -4.7019e+00 +2.3588e+00 +3.5929e+00 -2.2641e+00 -3.1165e+00 +3.6973e+00
85 +9.352723415e+02 +9.352723415e+02 +9.706223415e+02 +9.706223415e+02 +1.4813e+00 -1.1040e+00 +1.1214e+00 +1.8141e+00 -4.4511e+00 -4.5938e+00 +3.0076e+00 -4.3578e+00 -3.8221e+00 -2.9392e+00 +2.9477e+00 -3.3369e-01 +2.2895e+00 +2.7177e+00 -2.9871e+00 +1.3450e+00 +2.0837e+00 +4.1635e+00 +1.6846e+00 +2.3856e+00
662 +7.210507484e+02 +7.210507484e+02 +7.564007484e+02 +7.564007484e+02 +3.0690e+00 +1.6365e+00 +4.0096e+00 +2.6236e+00 -4.7293e+00 -1.5170e+00 -1.8714e+00 +3.7853e+00 +1.6685e+00 +8.7162e-01 +1.1737e+00 -4.7865e+00 +3.9749e+00 -9.7646e-01 +2.1834e+00 +2.8322e+00 +2.7036e-01 -4.1357e+00 +4.2537e+00 +2.2553e-01
1365 +6.196437013e+02 +6.196437013e+02 +6.549937013e+02 +6.549937013e+02 +6.1748e-01 -6.4109e-01 +8.3477e-01 +2.4569e+00 -1.6604e+00 -3.6262e+00 +4.5097e+00 +4.6931e-01 +4.4217e+00 -3.1090e+00 -6.8955e-01 -4.6437e+00 -3.2353e+00 +1.9866e+00 -3.0630e+00 -3.3701e-01 +4.9769e-01 +3.4692e+00 +2.5329e+00 +1.4676e+00
2552 +5.279570156e+02 +5.279570156e+02 +5.633070156e+02 +5.633070156e+02 +1.9280e+00 +2.3727e+00 +2.2819e+00 +4.9832e+00 +4.1982e-01 -1.3677e+00 -1.8738e-01 +1.9141e+00 +4.6309e+00 -4.6445e+00 -1.4002e+00 -4.0117e+00 -7.3733e-01 +4.6949e+00 -3.5054e+00 -8.5917e-01 +2.6326e+00 +4.3499e+00 +4.7525e+00 +2.0203e+00
3464 +4.670551970e+02 +4.670551970e+02 +5.024051970e+02 +5.024051970e+02 -1.3643e+00 +2.0628e+00 -8.2393e-01 +4.6206e+00 -7.1628e-01 +2.6671e+00 -2.0596e-01 +2.5968e+00 -3.5082e+00 -2.7499e+00 -4.3499e+00 -3.2302e+00 +2.2178e+00 +4.6965e+00 -4.5191e+00 -2.5584e-02 +4.0649e+00 +5.8601e-01 +2.1374e+00 -2.2192e+00
6628 +3.680709786e+02 +3.680709786e+02 +4.034209786e+02 +4.034209786e+02 +3.6520e+00 -2.1626e+00 +3.4707e+00 +3.0151e+00 -2.0272e+00 +1.4610e+00 +3.8381e+00 +4.5389e+00 -1.3346e-01 +4.5238e+00 +1.7042e+00 -4.6122e+00 +1.1662e+00 +1.1460e+00 -1.3496e+00 +1.4526e+00 +4.6341e+00 -1.8081e+00 +3.7572e+00 +1.4143e+00
7892 +3.156095378e+02 +3.156095378e+02 +3.509595378e+02 +3.509595378e+02 +2.9435e+00 -2.9441e+00 -8.7933e-01 +2.5916e+00 -1.0415e+00 -2.2878e+00 +4.2630e+00 +4.0206e+00 +1.1167e+00 -2.5381e+00 -1.8727e+00 -3.8405e+00 +1.8680e+00 +2.9391e+00 -1.4565e+00 -5.2002e-01 +5.2054e-02 +2.5707e+00 +2.5829e+00 +4.9413e+00
42373 +2.444510977e+02 +2.444510977e+02 +2.798010977e+02 +2.798010977e+02 +2.0918e+00 +3.2501e+00 +4.6057e+00 +4.4619e+00 -2.2611e+00 +2.9202e+00 +2.9663e+00 +9.4578e-01 -1.4719e+00 +2.6114e-01 +2.2212e-02 -9.4820e-01 +2.8772e+00 +4.3883e+00 -3.6257e+00 +2.8409e+00 +4.7848e+00 -3.3858e-01 +3.9264e-02 -7.5711e-02
96063 +1.933952066e+02 +1.933952066e+02 +2.287452066e+02 +2.287452066e+02 +2.3395e+00 +2.5914e+00 +1.5002e+00 -4.0742e+00 -1.0279e+00 -1.2118e+00 +4.7455e+00 +1.6148e+00 -1.0082e+00 -1.9702e+00 -5.5818e-02 -3.2027e+00 +4.2797e+00 +4.4459e+00 +3.4533e+00 +4.0367e+00 +3.4939e+00 +2.0802e-01 +3.8646e+00 +3.4027e+00
458252 +1.885852365e+02 +1.885852365e+02 +2.239352365e+02 +2.239352365e+02 +1.8305e+00 +1.9788e+00 +7.1775e-01 -1.4999e+00 -9.7655e-01 +9.9990e-01 +3.2492e+00 +4.1972e+00 -4.3786e+00 -4.3382e+00 +1.1433e+00 -4.5096e+00 +2.9905e+00 +4.9071e+00 -1.3690e+00 +2.3353e+00 +4.5412e+00 -1.4702e+00 -3.3427e-01 +4.0222e+00
604352 +1.549725362e+02 +1.549725362e+02 +1.903225362e+02 +1.903225362e+02 +5.3259e-01 +1.2093e+00 +4.1368e+00 +3.9468e+00 -3.1337e-01 +7.5279e-01 +4.7058e+00 -4.4129e-01 +3.9336e+00 +5.2393e-01 -1.5146e+00 -3.8701e+00 +4.9567e+00 +3.4788e+00 -4.6725e+00 +3.5606e+00 +2.5508e-01 +1.1374e+00 +3.0937e+00 +1.3753e+00
1336872 +1.479140101e+02 +1.479140101e+02 +1.832640101e+02 +1.832640101e+02 +1.9866e-01 +6.6056e-01 +4.1815e+00 +4.4816e+00 -1.9949e+00 -1.7076e-01 +1.8612e+00 +2.7251e+00 +2.9145e+00 +2.7921e+00 +7.5360e-02 +2.0018e-01 +4.8683e+00 +1.1426e+00 -3.7490e+00 +4.0522e+00 +3.3331e+00 +3.0213e+00 +4.1107e+00 +3.0994e+00
2428964 +9.512905098e+01 +9.512905098e+01 +1.304790510e+02 +1.304790510e+02 +3.5618e+00 +9.0707e-02 +3.4101e+00 +1.2764e+00 -2.2111e+00 -4.0843e+00 +4.8675e+00 +1.3998e-01 +4.1439e+00 -5.7112e-01 -1.2410e+00 -4.3744e+00 +1.0795e+00 +1.4520e+00 -2.8674e+00 +2.4673e+00 +2.4664e+00 +4.4542e+00 +2.7659e+00 +4.1174e+00
59698298 +7.973601315e+01 +7.973601315e+01 +1.150860131e+02 +1.150860131e+02 -6.8425e-01 +6.1607e-01 +3.7122e+00 +3.3391e+00 -2.0522e+00 -7.8992e-01 -7.7000e-01 +1.6617e+00 -8.8591e-01 -2.9564e+00 +3.2238e+00 -1.3243e+00 +4.4324e+00 +2.1295e+00 -1.8753e+00 +4.2052e+00 +3.5438e+00 -9.4028e-02 +3.3990e+00 +8.5162e-01
% function evaluation | noise-free fitness - Fopt (3.820000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.901941164e+03 +1.901941164e+03 +1.905761164e+03 +1.905761164e+03 +4.7642e+00 -1.2739e+00 -4.2929e+00 -2.8458e+00 +4.3449e+00 +2.7477e+00 -2.8916e+00 -9.0985e-01 +3.8311e+00 +1.4805e+00 +3.2886e+00 -4.9922e+00 -9.9027e-03 +1.0290e+00 -1.6042e+00 +1.6560e-01 +1.0577e+00 +1.4187e+00 +1.1432e+00 +4.1376e+00
7 +1.840376503e+03 +1.840376503e+03 +1.844196503e+03 +1.844196503e+03 -5.5704e-01 -2.6399e+00 -4.9620e+00 +1.4553e+00 -2.1218e+00 -6.7706e-01 +2.5144e-01 +3.9935e+00 +2.8034e+00 -3.2117e-01 +1.1237e+00 -2.6309e+00 -1.3406e+00 +1.9007e+00 +3.2753e+00 +1.2382e+00 -6.3916e-01 +3.7240e+00 -3.4606e+00 +1.7860e+00
11 +9.983100036e+02 +9.983100036e+02 +1.002130004e+03 +1.002130004e+03 +1.2186e+00 -9.1576e-01 -3.1702e+00 -4.0231e+00 -4.9553e+00 +3.4717e+00 -2.3211e-01 +1.5197e+00 -2.1705e+00 +4.5605e+00 +4.8501e+00 +1.9487e-01 +1.4107e+00 +3.4224e+00 -1.2116e+00 +2.9169e-01 +7.8845e-01 -1.9934e+00 +1.6321e+00 +3.1051e+00
14 +4.186037833e+02 +4.186037833e+02 +4.224237833e+02 +4.224237833e+02 +1.2907e+00 -2.7553e+00 -1.6329e+00 +4.1607e-01 +3.5472e+00 +1.4905e+00 +2.7871e+00 -1.3822e+00 -1.0339e+00 -2.4318e+00 +3.1338e-01 -2.9844e+00 -7.1091e-01 -3.1448e+00 +2.8807e+00 +1.9133e+00 -3.5437e+00 +2.5362e-01 +4.2584e+00 +4.5714e+00
431 +3.994229720e+02 +3.994229720e+02 +4.032429720e+02 +4.032429720e+02 +3.8209e+00 -4.6008e+00 +1.1738e+00 -4.6116e+00 +4.6044e+00 -1.8925e+00 +3.2588e+00 -3.7819e+00 -1.8625e+00 +7.5482e-01 +2.4261e+00 +2.0893e+00 -1.5784e+00 -7.9118e-01 +1.3204e+00 +1.8659e+00 -1.7564e-01 -3.0696e+00 +1.0083e+00 +1.9817e-01
1725 +3.505983351e+02 +3.505983351e+02 +3.544183351e+02 +3.544183351e+02 -1.0877e+00 -3.6273e+00 +5.6776e-01 -4.6220e+00 -1.4142e+00 -2.8647e-01 -4.3419e+00 -1.9061e+00 -3.7278e+00 -2.4539e+00 +3.8110e+00 -9.0219e-01 +9.6982e-01 -1.7044e+00 +4.6117e+00 +2.4573e+00 -3.5518e+00 -4.9947e+00 -8.4695e-01 +7.3466e-01
4364 +3.350123550e+02 +3.350123550e+02 +3.388323550e+02 +3.388323550e+02 +4.1455e+00 +6.7368e-01 +7.8881e-02 -4.2129e+00 -3.7032e+00 +3.8756e+00 +1.5122e+00 -1.9259e+00 +1.9768e-01 +3.2949e+00 +4.0353e+00 +1.6147e+00 +9.6095e-01 -3.9319e-01 +5.3437e-01 +4.2756e+00 +2.5368e-01 -1.1685e-01 +2.3553e-02 +2.2687e+00
6804 +2.943437888e+02 +2.943437888e+02 +2.981637888e+02 +2.981637888e+02 +1.7288e+00 -2.1497e-01 -7.1182e-02 +1.4515e+00 +3.3348e+00 -3.3828e+00 -9.5719e-01 -5.6133e-01 -4.0618e+00 +9.9215e-02 -5.5276e-01 +1.3764e+00 -2.9711e+00 -7.7929e-01 +4.2976e-01 -4.4633e+00 -3.4531e+00 +2.8353e+00 +4.9773e+00 +1.6873e+00
7192 +2.837668746e+02 +2.837668746e+02 +2.875868746e+02 +2.875868746e+02 +4.6461e+00 -3.4461e+00 +1.0162e+00 +1.8190e+00 -1.4975e+00 +2.2091e+00 -1.1700e+00 -4.0337e+00 -2.1882e+00 +7.0741e-02 +4.6263e+00 -4.3656e-01 -2.3786e-01 -1.9445e-01 +8.1986e-01 -8.2238e-02 +4.6335e-01 -2.5049e+00 +4.9065e+00 +3.4208e+00
10862 +2.771970458e+02 +2.771970458e+02 +2.810170458e+02 +2.810170458e+02 +2.1175e+00 -3.6995e+00 -1.9103e+00 -4.8487e+00 +1.3986e+00 +2.4536e+00 +4.7135e+00 -2.6588e+00 +2.1232e+00 -1.8161e+00 +2.6883e-01 +2.0971e+00 +7.3386e-01 -4.6513e+00 +2.5737e+00 +2.5109e+00 -4.6181e+00 -3.3220e+00 +2.1698e-01 +1.7695e+00
13620 +2.473001313e+02 +2.473001313e+02 +2.511201313e+02 +2.511201313e+02 +4.1332e+00 -1.6073e+00 +2.5554e+00 -1.5890e+00 -5.4883e-01 -4.4465e+00 -5.3824e-01 +2.3062e+00 -4.7082e+00 -4.3508e+00 +4.2595e+00 +2.4849e+00 +1.4223e+00 +3.6312e-01 -2.3931e-01 +4.1996e+00 -1.7704e+00 +2.1788e+00 -1.4440e+00 +5.0893e-01
32300 +1.288463909e+02 +1.288463909e+02 +1.326663909e+02 +1.326663909e+02 +3.3730e+00 +6.9334e-02 -6.0935e-01 -3.0126e+00 +6.7103e-01 -2.8963e+00 +4.2814e-01 -4.4709e+00 -1.0526e+00 +1.5213e+00 -3.2733e+00 +4.0241e+00 -2.1141e+00 +8.9224e-02 +1.0420e+00 +9.9813e-02 -1.2585e+00 +1.2653e-01 +1.7611e+00 +4.1213e+00
2276302 +1.085863817e+02 +1.085863817e+02 +1.124063817e+02 +1.124063817e+02 +4.2684e+00 +3.4227e-01 +6.6733e-01 -8.1348e-01 +2.4308e+00 +2.4663e+00 +1.7088e+00 -2.9259e+00 +2.0876e+00 +2.6908e+00 +1.3776e+00 +4.5778e+00 +6.2497e-01 -2.3685e+00 -1.2074e-01 -1.7210e+00 +9.6241e-01 -3.0160e+00 +2.8337e+00 +4.3505e+00
16193219 +1.046131706e+02 +1.046131706e+02 +1.084331706e+02 +1.084331706e+02 +3.5949e+00 -1.5300e+00 -1.1938e-01 -3.9536e+00 +1.6537e+00 -2.0049e+00 +1.5939e+00 -2.4198e+00 +1.9897e+00 -3.9039e+00 +7.8650e-01 +3.9532e+00 -1.4073e+00 -3.2844e+00 -1.1399e+00 +3.4399e+00 +1.7042e-01 +3.4717e+00 -7.4620e-01 +3.6818e+00
17140842 +8.431325570e+01 +8.431325570e+01 +8.813325570e+01 +8.813325570e+01 +4.1590e+00 +2.4694e+00 -5.1102e-01 -3.6475e+00 -1.6306e+00 +2.9971e+00 +2.5865e+00 +7.5411e-01 +1.9278e+00 -2.3582e+00 +9.6267e-01 +2.5625e+00 -1.0248e+00 -2.1600e+00 -2.6941e-01 +7.1225e-01 +2.1667e+00 -2.2413e-01 +9.7154e-01 +4.7229e+00
20775632 +6.847580009e+01 +6.847580009e+01 +7.229580009e+01 +7.229580009e+01 +2.9696e+00 +5.7241e-01 -9.9663e-01 -3.3660e+00 +1.3228e+00 +1.1206e+00 +2.6533e+00 -1.2171e+00 +2.5077e+00 -8.1791e-01 -1.4972e+00 +3.8280e+00 -5.9934e-01 -1.8144e+00 +5.9268e-01 +7.3179e-01 -6.9993e-01 +3.0778e+00 +7.2890e-01 +4.2889e+00
68798189 +6.393092004e+01 +6.393092004e+01 +6.775092004e+01 +6.775092004e+01 +3.9431e+00 +1.3477e+00 +2.9164e+00 -4.7085e+00 -2.3617e+00 +1.1879e+00 +2.6425e-01 -4.8460e+00 +8.6557e-01 +2.6052e-01 +3.4502e+00 +1.3268e+00 -1.3318e+00 -2.0791e+00 -1.3052e+00 +2.1589e+00 +3.4544e+00 -2.3483e+00 +2.8530e+00 +1.8135e+00
% function evaluation | noise-free fitness - Fopt (2.175000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.043857503e+02 +7.043857503e+02 +7.261357503e+02 +7.261357503e+02 -4.3210e+00 -1.9190e+00 -2.0093e+00 -9.2016e-01 -3.4901e+00 -4.0311e+00 -5.8629e-01 -3.2722e+00 -5.4413e-01 -7.2665e-01 -2.4792e+00 -3.5846e+00 +4.9073e+00 +1.8189e+00 -3.3744e+00 +1.6070e+00 +1.8538e+00 -2.0190e+00 -2.8450e+00 -7.5786e-02
57 +5.966791321e+02 +5.966791321e+02 +6.184291321e+02 +6.184291321e+02 -3.3538e+00 -4.1922e+00 -2.5789e+00 -2.3679e+00 -1.6464e+00 -4.2471e-01 +4.8551e+00 -3.0293e+00 +8.7978e-01 +2.4536e+00 +2.9533e+00 +3.4209e+00 +8.0304e-01 +1.8185e+00 -1.9842e+00 -3.6713e+00 -2.9925e+00 +3.1003e+00 -2.6976e+00 -1.6951e+00
159 +5.204006658e+02 +5.204006658e+02 +5.421506658e+02 +5.421506658e+02 -2.7686e+00 +1.2197e-01 -7.8695e-01 -2.6430e+00 +2.9684e+00 -4.5274e-01 -5.7671e-01 -2.5618e+00 +2.6254e+00 +2.8945e+00 -1.0002e+00 +4.9998e+00 -8.8988e-01 -2.7931e+00 +1.5360e+00 -2.9997e+00 -3.2986e+00 +1.2622e+00 -2.8425e+00 -1.7372e+00
1339 +4.697415051e+02 +4.697415051e+02 +4.914915051e+02 +4.914915051e+02 +2.5262e+00 -2.4283e+00 -1.2946e+00 +1.8097e+00 -1.5146e-01 -3.7270e+00 +9.4453e-01 +2.9428e+00 -1.4214e+00 +3.4504e+00 +4.3058e+00 +3.5677e-01 +4.3458e+00 +2.3572e+00 -3.0747e+00 -2.8172e+00 -1.8358e+00 +2.9749e+00 -4.5721e-01 -1.3520e+00
2667 +3.319478120e+02 +3.319478120e+02 +3.536978120e+02 +3.536978120e+02 +4.5942e+00 -7.6557e-01 -3.1539e+00 +8.5301e-01 +1.3829e+00 -2.4352e+00 -6.8364e-01 -1.3441e+00 -2.7796e-01 +2.8557e+00 +8.8095e-01 +1.4400e+00 +3.7321e+00 -2.5724e+00 -2.2134e+00 -1.9480e+00 +3.8540e-01 +3.6088e+00 -4.7701e+00 +2.7827e+00
17023 +2.275883891e+02 +2.275883891e+02 +2.493383891e+02 +2.493383891e+02 -3.7272e+00 -8.0007e-02 -2.1459e+00 +7.2228e-03 -6.0427e-01 -4.8919e+00 +1.4426e+00 -3.3704e+00 +2.1963e+00 +4.5722e+00 +1.7268e+00 +3.9690e+00 +7.7192e-01 -1.2805e+00 +4.4365e+00 -2.2874e+00 -4.1412e+00 +1.7200e+00 -2.6815e+00 +3.5308e+00
42458 +2.063386346e+02 +2.063386346e+02 +2.280886346e+02 +2.280886346e+02 +1.9466e+00 -1.7979e+00 -2.4463e+00 +1.4679e+00 +3.3042e+00 +4.7819e-01 +1.9438e+00 -6.1463e-01 +3.6005e+00 +3.1007e+00 +3.7391e+00 -3.6809e+00 +4.7199e+00 -4.7513e-01 -2.0880e+00 +3.3584e+00 -2.3329e-01 +2.0750e+00 -3.5577e+00 +3.5018e+00
