% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
16749 +1.515711785e+01 +1.515711785e+01 +8.650711785e+01 +8.650711785e+01 -2.8658e+00 +2.4630e+00 +4.1278e+00 -4.9519e+00 +2.7834e+00 -4.2099e+00 -6.1822e-01 +3.5240e-01 -1.0486e+00 -2.3533e+00 +5.5307e-01 -2.8590e+00 +3.4668e+00 +3.0236e+00 -3.1494e+00 +7.8746e-01 -2.9597e+00 -1.1324e+00 +2.4339e+00 -4.3445e+00
344572 +1.387604335e+01 +1.387604335e+01 +8.522604335e+01 +8.522604335e+01 +2.8830e+00 +7.7956e-02 +1.4022e+00 +4.0709e+00 -4.4251e+00 +1.5923e+00 -3.8549e+00 +3.8779e+00 -1.3068e+00 -6.7864e-01 -1.8353e+00 -3.0870e+00 -8.6721e-01 +3.8535e+00 +1.5346e+00 -2.1906e+00 +1.8931e+00 -2.5846e+00 -3.2745e+00 +4.1975e+00
1026332 +1.233164817e+01 +1.233164817e+01 +8.368164817e+01 +8.368164817e+01 -8.3492e-01 -3.7573e+00 +4.0458e+00 +4.2517e+00 -3.5248e+00 -8.5264e-01 +2.4151e+00 +3.1320e+00 -3.0720e+00 -2.7297e+00 +4.8666e+00 -3.7602e+00 -3.5561e+00 -8.9203e-01 +4.0716e-01 +2.7849e+00 -9.3559e-01 -1.1439e+00 -4.3336e-01 -3.8465e-01
16457479 +1.164885742e+01 +1.164885742e+01 +8.299885742e+01 +8.299885742e+01 +8.9785e-01 -4.6585e+00 +3.8834e+00 -4.5078e+00 -2.3030e+00 -9.8573e-01 -4.4790e+00 +1.2576e+00 +4.9078e+00 +4.8763e+00 -1.2924e+00 -2.2951e-01 -2.7085e+00 +3.3175e+00 +1.7452e-01 +8.3930e-02 +4.8175e+00 -4.1029e+00 -1.5088e+00 -4.0720e+00
24686894 +1.117779515e+01 +1.117779515e+01 +8.252779515e+01 +8.252779515e+01 -2.4571e+00 -5.2384e-01 +9.6272e-01 +1.6908e+00 +2.3577e+00 -3.3438e+00 -8.2184e-02 -5.0414e-01 -1.3363e+00 +2.7169e-01 +4.9314e+00 -4.7124e+00 +1.7957e+00 -6.3667e-01 +1.6571e+00 -6.8875e-01 +4.7052e+00 +1.0636e+00 -2.0253e+00 -8.1593e-01
65242904 +1.072041889e+01 +1.072041889e+01 +8.207041889e+01 +8.207041889e+01 -1.0111e+00 +1.6505e+00 +4.3442e+00 -1.9826e-01 +3.9682e+00 +2.8008e-01 -4.8004e+00 +2.9501e+00 +4.8403e-01 -2.1339e+00 +1.7472e+00 +3.8412e+00 -2.9390e+00 -4.0104e+00 -2.7987e+00 +3.5495e+00 +2.8804e+00 +2.2485e+00 -2.9687e+00 -3.2209e-01
73774926 +1.053781382e+01 +1.053781382e+01 +8.188781382e+01 +8.188781382e+01 +4.6324e+00 +3.5384e+00 +1.9077e+00 +8.0814e-01 -3.9225e+00 -5.0358e-01 +3.8804e+00 -4.2434e+00 +2.3250e+00 +4.4693e+00 -4.6894e+00 +4.7376e+00 -4.2830e+00 +4.2336e-01 -1.3479e+00 -2.7447e+00 +2.7065e+00 -4.3566e+00 +3.9303e+00 -1.9115e+00
149142416 +1.003370385e+01 +1.003370385e+01 +8.138370385e+01 +8.138370385e+01 +7.8224e-01 -1.2624e-01 -1.5306e+00 -4.1666e+00 +3.9488e+00 +1.9431e+00 +2.8592e+00 +7.8516e-01 -1.8280e+00 -3.2407e+00 -9.7237e-01 +5.3308e-01 -9.3108e-01 +3.6079e+00 +3.3565e+00 +1.1315e-01 -2.1979e+00 -1.1008e-01 -3.0208e+00 +1.8275e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.023741453e+02 +1.023741453e+02 -2.528458547e+02 -2.528458547e+02 +6.0981e-01 +2.4910e+00 +3.8769e+00 -2.5669e+00 -4.2016e-01 -4.8362e+00 -4.0430e+00 -3.7839e+00 +6.9941e-02 -2.8284e+00 -2.5793e+00 +2.1277e+00 -8.5445e-01 +1.5302e+00 -1.3635e+00 -2.8654e+00 -4.7221e+00 +3.6617e+00 -3.0282e+00 +7.7994e-01
3 +8.727145445e+01 +8.727145445e+01 -2.679485455e+02 -2.679485455e+02 -8.5552e-01 +3.3846e+00 +3.9668e+00 +3.2008e+00 +1.0020e+00 +4.9651e+00 -5.3216e-01 -1.7076e+00 +2.5136e+00 -2.1122e+00 -4.4045e+00 +1.0729e-01 +4.6036e+00 +3.8616e+00 +2.0502e-01 +2.3992e+00 +1.5188e+00 +3.2849e+00 -3.4292e+00 +3.7638e+00
4 +8.085115699e+01 +8.085115699e+01 -2.743688430e+02 -2.743688430e+02 -3.8114e+00 +4.1224e+00 +2.7150e+00 -1.3943e+00 +4.5026e+00 -1.5874e+00 +6.0369e-01 +2.4916e-01 +3.7366e+00 -4.7397e-01 +1.3419e+00 +2.9669e+00 +1.8438e+00 +3.2588e+00 -1.2951e+00 +3.4337e+00 +4.3393e+00 -3.6854e+00 -2.9544e+00 +4.2799e+00
5 +5.238283898e+01 +5.238283898e+01 -3.028371610e+02 -3.028371610e+02 -7.1321e-02 +4.5147e-01 +1.9266e+00 -2.5958e+00 -1.8190e+00 +4.0950e+00 +2.0031e+00 -4.7761e+00 -4.5891e+00 +4.2942e+00 +1.0329e+00 +3.7533e+00 +1.5338e+00 -3.3268e+00 -1.2527e+00 +1.1003e+00 -4.0120e-01 -9.4839e-01 +1.7149e-01 -7.8179e-01
13 +5.115077860e+01 +5.115077860e+01 -3.040692214e+02 -3.040692214e+02 -1.4185e+00 -1.2633e+00 +3.3942e-01 +4.7642e+00 +2.6709e+00 -4.9025e+00 -3.7129e+00 +1.4360e-01 -6.0694e-01 +3.5677e+00 -2.0803e+00 +2.3637e+00 +2.0022e+00 -9.7363e-01 -3.7676e+00 -3.2185e+00 +1.7260e+00 +1.2360e+00 -4.7045e+00 -1.7945e+00
31 +4.587068249e+01 +4.587068249e+01 -3.093493175e+02 -3.093493175e+02 -6.5539e-01 +9.2393e-01 -4.1419e+00 -4.8178e-01 +3.8626e+00 -2.6992e+00 +2.5051e+00 +4.0418e+00 +9.2665e-01 -1.6563e+00 +2.9173e+00 -4.3847e+00 -9.1205e-01 +1.1478e+00 +2.8077e-01 +3.3551e+00 -3.6424e+00 +7.0362e-01 +9.5224e-01 -3.7709e+00
134 +4.340241767e+01 +4.340241767e+01 -3.118175823e+02 -3.118175823e+02 +4.3055e+00 +3.9516e+00 +4.3745e+00 -1.2882e+00 -4.2759e+00 -3.9008e+00 -1.4164e+00 +3.7682e+00 +6.9613e-02 +2.7499e+00 +4.3614e+00 +2.1080e+00 -1.3149e+00 +4.4257e+00 +4.3101e+00 -2.5120e+00 -4.7474e+00 -1.7768e+00 -4.9623e+00 +3.5466e+00
164 +3.758061386e+01 +3.758061386e+01 -3.176393861e+02 -3.176393861e+02 +3.2836e+00 +3.3738e-01 +1.9061e+00 +1.7136e+00 -1.6353e-01 +4.5646e+00 -1.0768e+00 -3.8055e+00 +5.8964e-02 +2.8766e+00 -4.7110e+00 +1.6307e+00 +2.1707e+00 +5.0808e-01 +2.1894e+00 -3.7433e+00 -2.0286e+00 -9.9745e-01 -3.0799e+00 -2.9875e+00
214 +3.620797532e+01 +3.620797532e+01 -3.190120247e+02 -3.190120247e+02 -1.2336e+00 -3.4813e+00 -4.2720e+00 +1.9637e+00 +1.0342e+00 -3.5183e-01 -3.4330e+00 -9.3627e-01 +2.2148e+00 +2.8392e+00 -1.1697e+00 +4.6885e+00 -4.8938e+00 +2.8311e+00 +4.8865e-01 -5.1841e-01 -4.0541e+00 +5.3838e-01 -7.3996e-01 +3.0029e+00
391 +2.092588855e+01 +2.092588855e+01 -3.342941114e+02 -3.342941114e+02 -1.3686e+00 +3.3403e+00 +3.1841e+00 -3.3970e+00 +1.9629e+00 +4.4499e+00 -3.6416e+00 +2.1612e+00 +3.2186e+00 -4.6196e+00 +1.9438e+00 -3.2850e+00 -4.3069e+00 -3.0062e+00 -5.4855e-01 +3.6016e+00 -3.5790e+00 +1.0174e+00 -4.0747e+00 -1.8827e+00
897 +1.633596829e+01 +1.633596829e+01 -3.388840317e+02 -3.388840317e+02 +7.0271e-01 -1.8933e+00 +2.0084e+00 -5.5440e-01 -4.9454e+00 +3.5537e+00 +3.8102e+00 -2.5469e+00 -1.8755e+00 -4.9943e+00 -4.2329e+00 +4.6184e+00 -4.7284e+00 -6.5395e-01 -2.4487e-01 +2.3372e+00 -2.6772e+00 +2.3992e-01 +3.8824e+00 -3.6164e+00
52758 +1.497331318e+01 +1.497331318e+01 -3.402466868e+02 -3.402466868e+02 -3.7362e-01 +3.4396e+00 -1.5869e+00 -1.9452e+00 +6.3905e-01 +3.7561e-01 +2.5675e+00 +3.8714e+00 +5.6201e-01 -2.0101e-02 -2.5565e+00 -1.2750e-01 +2.8399e+00 -2.8777e+00 +1.1507e+00 +2.1806e+00 -3.1873e+00 -2.0622e+00 -2.5271e+00 -1.6497e+00
866405 +1.362921520e+01 +1.362921520e+01 -3.415907848e+02 -3.415907848e+02 -3.5349e+00 +2.6466e+00 +1.0676e-01 +3.6448e+00 -1.0354e+00 +4.0009e-01 +6.9081e-03 -3.6754e+00 -2.3692e+00 +3.8238e+00 -2.0919e+00 +4.3351e+00 +4.9629e+00 +1.4763e+00 -2.7103e-01 -2.8696e+00 +2.8934e+00 +1.3524e+00 +2.7743e-01 +9.5377e-01
1321236 +1.260561694e+01 +1.260561694e+01 -3.426143831e+02 -3.426143831e+02 +1.0012e+00 +3.9539e+00 +4.4693e+00 +4.6524e+00 +4.1908e+00 +3.2121e-01 +1.0792e+00 -5.2945e-01 -1.7177e+00 -4.6924e-01 -3.3683e+00 -4.0070e+00 -3.5453e+00 -3.3013e+00 -9.8342e-02 +1.0624e+00 -2.8330e+00 -4.7057e+00 +1.1393e+00 +1.8720e+00
6705726 +1.048097102e+01 +1.048097102e+01 -3.447390290e+02 -3.447390290e+02 +3.9658e-01 -3.1734e+00 +1.9100e-01 -4.5469e-01 +2.1732e-01 -1.5290e+00 +2.9651e+00 -3.5241e-02 -1.6607e+00 -5.5255e-01 +1.9044e+00 +4.4537e+00 +4.5845e+00 -2.9368e+00 +4.3511e-01 +3.6225e+00 +2.5755e-01 +4.8270e+00 -5.2131e-01 -2.9748e+00
132051621 +9.191347433e+00 +9.191347433e+00 -3.460286526e+02 -3.460286526e+02 -4.4383e+00 +4.3448e+00 +2.8961e+00 +1.4598e+00 -1.2498e+00 +3.6481e+00 +4.3858e+00 +2.7688e+00 -1.9840e+00 -8.6116e-01 +1.9538e+00 -4.3347e+00 -7.3700e-01 -3.9502e+00 -3.7568e+00 -2.8018e+00 -1.5405e+00 +2.3996e+00 +4.3670e-01 -1.7452e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.263208770e+01 +7.263208770e+01 +1.718020877e+02 +1.718020877e+02 +3.7968e+00 +4.0076e+00 +4.0879e+00 -4.4622e+00 +4.3940e-01 +4.2529e+00 -6.6664e-01 +4.5570e+00 -4.4492e+00 +2.7537e+00 +1.3596e+00 +1.6938e+00 +2.6586e+00 -3.6063e+00 +2.0913e+00 +1.0638e+00 -1.2744e+00 -3.6449e+00 -4.2398e-01 -4.8912e+00
3 +4.351408723e+01 +4.351408723e+01 +1.426840872e+02 +1.426840872e+02 +4.0785e-01 +4.3150e+00 +6.5377e-01 +3.4581e+00 +1.7743e+00 +3.4868e+00 +9.1225e-01 +1.9912e+00 -4.3546e+00 -7.0845e-01 +6.2689e-01 -1.4385e+00 -3.9751e+00 +2.0836e+00 +1.4923e+00 +3.6076e+00 -7.9208e-01 -2.3101e+00 -9.0909e-01 +2.5244e-01
18 +4.197836377e+01 +4.197836377e+01 +1.411483638e+02 +1.411483638e+02 -4.5741e+00 +2.9871e+00 -1.5846e+00 -4.7843e+00 -1.1591e+00 +4.8855e+00 +2.8849e-01 -2.9904e+00 -1.7357e-01 -4.3078e+00 +1.6536e+00 -1.8821e+00 +1.8632e+00 +7.5221e-01 -3.9427e+00 -4.7104e+00 +3.7054e+00 +2.9322e+00 +2.0938e+00 -8.8412e-01
49 +4.152222692e+01 +4.152222692e+01 +1.406922269e+02 +1.406922269e+02 -1.0348e-01 +3.7094e+00 +1.7088e+00 +4.8448e+00 +3.3875e+00 -3.3168e+00 -2.3290e+00 -2.2927e+00 +1.4818e+00 -1.4622e+00 -3.7868e+00 +1.3210e+00 -4.5283e+00 +2.1287e+00 +4.8009e+00 +3.3151e+00 +1.2127e+00 -2.1509e+00 +1.0842e+00 -3.2100e+00
75 +3.736957317e+01 +3.736957317e+01 +1.365395732e+02 +1.365395732e+02 -5.5674e-01 -4.2420e+00 +1.9419e+00 -2.1797e+00 +3.4818e+00 -2.0005e+00 +4.4370e+00 +4.0827e+00 +1.9213e+00 +4.5824e+00 -1.0483e+00 -5.0445e-01 -2.8405e+00 -1.4605e+00 +4.8391e+00 +1.9825e+00 +3.7962e+00 +2.1186e-02 -1.4130e-01 -2.1096e-01
499 +2.501471412e+01 +2.501471412e+01 +1.241847141e+02 +1.241847141e+02 +1.6456e+00 -3.1451e+00 -4.5369e+00 -4.1736e+00 +2.0561e+00 +1.0819e+00 -1.5822e+00 +7.6284e-02 +6.7597e-01 +4.4577e+00 +4.3475e+00 +3.1832e+00 +1.0801e+00 -1.8472e+00 +2.1225e+00 -4.9539e+00 +4.7626e+00 -2.2071e+00 +2.6259e+00 +4.2002e-01
10086 +2.401792122e+01 +2.401792122e+01 +1.231879212e+02 +1.231879212e+02 -4.2570e+00 -3.6915e-01 -2.5262e-01 -6.5635e-01 -4.8820e+00 +2.1754e+00 -4.5586e+00 +3.1291e+00 -3.1940e+00 +6.5282e-01 -4.4054e+00 +9.3114e-01 +8.3272e-01 -7.6262e-01 +7.7664e-01 +4.4879e+00 +4.7267e+00 +3.5472e+00 -1.1967e+00 -1.1335e+00
13312 +1.233364011e+01 +1.233364011e+01 +1.115036401e+02 +1.115036401e+02 -1.2585e+00 +4.0184e+00 -7.5447e-01 +3.4750e-01 +1.6165e+00 -2.1758e+00 +3.0287e+00 +3.5622e-01 -3.6149e+00 +4.5112e+00 +4.9708e+00 -1.1129e+00 -2.8861e+00 -4.2002e+00 +2.7120e+00 -9.3670e-01 -2.5487e+00 -4.8126e+00 -1.9692e+00 +3.1437e+00
9109592 +1.048527410e+01 +1.048527410e+01 +1.096552741e+02 +1.096552741e+02 -4.6924e+00 -9.0504e-01 +1.2428e+00 -2.5291e+00 -2.4662e+00 +3.5278e+00 +3.7187e+00 +6.8772e-01 -4.8237e+00 +3.2938e-01 +3.3123e+00 -2.3441e+00 -8.3385e-01 +1.4990e+00 -5.1033e-01 +3.4769e+00 +1.9270e+00 -2.5811e+00 -4.2243e+00 +7.9389e-01
33164448 +9.972003524e+00 +9.972003524e+00 +1.091420035e+02 +1.091420035e+02 +3.5604e+00 +4.6778e+00 +2.5754e+00 -4.8639e+00 -2.2170e+00 +3.4362e+00 +2.7083e+00 +3.4353e+00 +3.5866e+00 -4.9799e+00 +1.8131e+00 -3.7765e+00 -1.8888e+00 -2.6218e+00 +3.9203e-01 +1.3533e+00 +2.5809e+00 +2.2496e+00 +2.6358e+00 -8.5489e-01
52680062 +8.947226016e+00 +8.947226016e+00 +1.081172260e+02 +1.081172260e+02 +2.6198e+00 +3.4987e+00 +1.7141e+00 -3.5395e+00 +2.9199e-01 -2.2522e+00 -3.7267e+00 -1.1706e+00 +1.8748e+00 +1.8163e+00 -9.1648e-01 -1.4293e+00 +5.9444e-01 -4.4111e+00 -1.4549e+00 -4.2796e+00 +8.2598e-01 +1.9348e+00 -8.7947e-01 -4.7231e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.219849644e+02 +1.219849644e+02 -3.959250356e+02 -3.959250356e+02 +3.6951e+00 +3.6990e+00 +4.6003e+00 +4.2623e+00 -4.5266e+00 +4.2426e+00 -4.2427e+00 +4.2513e+00 -9.4401e-02 +2.3804e+00 +4.1532e+00 +3.7665e+00 +3.1237e+00 -1.5363e+00 +2.3208e+00 +3.0297e-02 +2.1600e+00 -4.3602e+00 -1.4091e+00 +4.4338e-01
2 +4.453009610e+01 +4.453009610e+01 -4.733799039e+02 -4.733799039e+02 -2.8702e+00 -1.1659e+00 -3.7093e+00 -8.8340e-01 +2.5269e+00 -1.6597e+00 -4.8534e+00 +4.7184e-01 -4.3780e+00 -4.7428e+00 -4.5886e+00 -3.7639e-01 -4.4462e+00 +1.3157e+00 -1.7462e+00 +3.3639e+00 +3.8390e+00 +1.7672e+00 -5.0934e-01 -4.3789e-01
7 +4.332588006e+01 +4.332588006e+01 -4.745841199e+02 -4.745841199e+02 +1.0004e+00 -1.1913e+00 -4.3954e+00 -3.4350e+00 +1.8441e+00 +1.1732e+00 +4.4023e+00 -4.3502e-01 +4.6313e+00 +3.4440e-01 -3.2293e+00 +6.5568e-01 +2.4564e+00 +8.5420e-01 -2.6230e+00 -4.0045e+00 -3.8560e-01 +1.2252e+00 -3.6714e+00 -3.7083e+00
10 +4.004165601e+01 +4.004165601e+01 -4.778683440e+02 -4.778683440e+02 -8.3138e-01 -1.1642e+00 -7.9163e-01 +6.8780e-01 +3.4454e+00 -3.1096e+00 -2.6098e+00 -7.3199e-01 +1.5496e+00 -2.8076e+00 -2.5675e+00 -1.6129e+00 -1.9307e+00 -2.4029e+00 +3.1850e+00 +4.9598e+00 +4.3291e+00 +2.6861e+00 +4.7431e+00 +1.6516e+00
43 +2.267045204e+01 +2.267045204e+01 -4.952395480e+02 -4.952395480e+02 +4.5473e-01 -4.4789e+00 +4.3897e+00 -2.9339e+00 +6.1070e-01 +1.9241e+00 -1.1694e+00 -3.0393e+00 +3.7999e+00 +2.3593e+00 -3.1629e+00 -4.3515e+00 +3.6071e+00 +6.1192e-01 +2.2930e+00 -4.9216e+00 +7.3250e-01 +2.0508e+00 -6.7915e-01 -3.8474e+00
17304 +1.884419692e+01 +1.884419692e+01 -4.990658031e+02 -4.990658031e+02 +4.0072e+00 -4.4213e+00 +3.3968e+00 -2.3404e+00 +2.5426e+00 -9.1548e-01 +4.2143e+00 -6.5632e-01 +1.1869e+00 -4.9112e+00 -4.0603e-01 -1.1186e+00 -5.2320e-01 -3.6350e+00 +4.2711e+00 -3.3585e+00 +3.3467e+00 -4.0442e+00 +4.9805e+00 +1.6471e+00
81757 +1.810789188e+01 +1.810789188e+01 -4.998021081e+02 -4.998021081e+02 -1.1916e+00 -3.6472e+00 -2.4167e+00 +4.0259e+00 +2.4613e+00 +3.5045e-01 -4.2971e+00 -4.8754e+00 -1.8672e+00 +2.1658e+00 -1.9231e+00 +3.3265e+00 -4.1909e+00 -5.9056e-01 -1.5020e+00 +3.2076e+00 +7.2704e-01 -4.3555e+00 +1.0279e+00 -2.4116e-01
1123940 +1.721013320e+01 +1.721013320e+01 -5.006998668e+02 -5.006998668e+02 -8.2422e-01 -1.3913e-01 +1.1677e+00 +6.3192e-01 -3.7698e+00 +4.5440e+00 -1.5119e+00 +1.4450e+00 +1.5460e+00 +2.6905e+00 +4.0809e-01 -2.0734e+00 +3.2967e+00 -2.1873e+00 +1.1973e+00 -4.9818e+00 -3.1589e+00 -2.2808e+00 +2.7561e+00 -1.6560e+00
1457418 +1.316304569e+01 +1.316304569e+01 -5.047469543e+02 -5.047469543e+02 +2.8798e+00 +1.4633e+00 -9.8871e-02 -2.6837e-01 -4.4098e+00 +2.3234e+00 -9.1884e-01 -2.9326e-01 -8.2936e-01 -4.5070e-01 -3.6819e+00 -4.8378e+00 +4.6355e+00 -1.4433e+00 -4.7943e-01 -3.7460e+00 +2.6272e+00 +1.0681e+00 +3.2134e+00 -1.8632e+00
9071946 +1.019469114e+01 +1.019469114e+01 -5.077153089e+02 -5.077153089e+02 +4.3322e+00 +3.5120e+00 +2.6364e+00 -1.4942e+00 +1.2287e+00 +1.0926e+00 +3.8267e+00 +2.7776e+00 -8.9176e-02 +2.8021e+00 +3.2741e+00 -4.2667e+00 -2.9822e+00 +3.0086e+00 -2.3915e+00 +9.6908e-02 -4.8242e+00 -2.3718e+00 -4.7151e+00 +3.0604e+00
18655389 +8.739848788e+00 +8.739848788e+00 -5.091701512e+02 -5.091701512e+02 +3.0593e+00 -3.9105e+00 -1.7060e+00 -3.7626e+00 +4.0670e+00 -2.2141e+00 -4.9766e+00 -3.7727e+00 -1.1225e+00 +1.2125e-01 +1.9406e+00 +3.0376e+00 -4.2006e+00 +4.7967e+00 -2.1728e+00 +4.6117e+00 +2.7783e+00 +3.1749e-01 -1.4355e+00 -2.3745e+00
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.050472259e+02 +1.050472259e+02 +4.783722589e+01 +4.783722589e+01 +3.0293e+00 +4.6948e+00 -1.7922e+00 +3.2415e+00 +4.2651e+00 -4.5532e+00 -2.4919e+00 -4.0705e+00 +2.7780e+00 +1.9714e+00 +1.6164e+00 -1.7891e+00 -2.9403e-01 -1.2046e+00 -9.3326e-01 +4.0457e+00 -1.3667e+00 -3.9376e+00 -1.0003e+00 -4.2159e+00
3 +6.800839175e+01 +6.800839175e+01 +1.079839175e+01 +1.079839175e+01 -2.1456e+00 +1.1704e+00 -4.7643e+00 +3.2564e+00 +4.9781e+00 -4.9235e+00 -2.9596e+00 +1.1549e+00 +2.6206e+00 +4.4685e-01 -3.9638e+00 +4.4585e+00 -1.9729e+00 -7.5958e-01 +2.0745e+00 +1.3469e+00 +1.1743e-02 +4.0208e+00 -4.8720e+00 -4.3380e+00
4 +4.986867188e+01 +4.986867188e+01 -7.341328116e+00 -7.341328116e+00 +3.0432e+00 +2.0821e+00 -1.0452e+00 -8.3271e-01 +3.2875e+00 +1.6172e-01 +4.8593e+00 +1.8014e+00 -1.5927e+00 +2.4600e+00 -3.9389e+00 -8.4808e-01 -4.3601e+00 +2.6892e+00 -3.0403e+00 -4.0283e-01 +1.2926e+00 +2.1472e+00 +2.7003e+00 +6.2827e-01
28 +4.660325775e+01 +4.660325775e+01 -1.060674225e+01 -1.060674225e+01 +3.0113e+00 +3.4882e+00 -1.6168e+00 -2.7536e+00 -1.8400e+00 -1.5440e+00 -3.8434e+00 +4.6990e+00 +4.4634e+00 +2.1668e+00 +3.2599e+00 -2.4729e+00 +3.1953e+00 +1.4364e+00 -1.0451e+00 +4.0129e+00 -1.4253e+00 -9.9895e-01 -2.4539e+00 -3.7827e+00
