% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1728118 +3.538802368e+07 +3.538802368e+07 +3.538740257e+07 +3.538740257e+07 +5.0298e-02 +4.1215e+00 -7.0004e-01 -4.7990e+00 +3.9336e-01 -2.1159e+00 +3.4835e+00 -3.8857e-01 -1.2439e-01 -2.3754e-01 +1.7992e+00 +2.7882e+00 +4.9644e+00 +4.5039e+00 +1.5135e+00 -3.4425e+00 +1.0765e+00 +3.9106e+00 +1.7697e+00 -2.8244e+00
14257235 +3.142868212e+07 +3.142868212e+07 +3.142806101e+07 +3.142806101e+07 -2.8245e+00 +3.8302e+00 -2.7015e+00 -4.8174e+00 +5.5411e-01 -3.3037e+00 +1.2879e-01 +6.0863e-01 +8.1628e-01 +2.4186e+00 +1.4255e+00 +1.2494e+00 +4.4740e+00 +1.6832e+00 +3.3920e+00 -4.0155e+00 +1.4664e+00 +1.5277e+00 +1.0949e+00 +4.0991e-01
17841393 +2.760021382e+07 +2.760021382e+07 +2.759959271e+07 +2.759959271e+07 +1.1597e+00 +4.4542e+00 +1.5861e+00 -1.1273e+00 -1.3539e+00 -6.9977e-01 +2.6946e+00 +1.8076e+00 +1.6537e+00 -1.2841e+00 +1.0676e+00 -3.7640e-01 +3.1067e+00 +3.2607e+00 +6.8592e-01 -3.4347e+00 +7.9139e-01 +3.7172e+00 +1.9485e+00 -3.7065e-01
33798550 +2.457840231e+07 +2.457840231e+07 +2.457778120e+07 +2.457778120e+07 -3.6486e-01 +2.6507e+00 +7.7434e-01 -3.2962e+00 -1.0939e-01 -3.3405e+00 +2.6089e+00 -2.5290e+00 +6.2607e-01 -7.6068e-01 +2.3175e-01 +2.2661e+00 +4.9120e+00 +2.9602e+00 +3.2106e+00 -2.7602e+00 +3.5970e-01 +4.7476e+00 +2.6309e+00 -1.0369e+00
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.569503698e+10 +1.569503698e+10 +1.569503672e+10 +1.569503672e+10 -2.7844e+00 +4.6485e+00 +3.8493e+00 +3.1358e+00 -1.3085e+00 +3.6429e-01 -4.7043e+00 -4.4125e-01 -1.6645e-01 -1.2795e+00 +4.5337e+00 -4.5689e+00 -3.3295e+00 -3.6314e+00 -4.8676e+00 +1.0594e+00 -4.1552e+00 +3.2786e+00 +2.9047e+00 -3.7218e+00
2 +1.122659536e+09 +1.122659536e+09 +1.122659282e+09 +1.122659282e+09 -4.3584e-01 +3.3034e+00 +3.5056e+00 +1.0389e+00 -3.6074e-01 -1.6348e+00 -3.3070e+00 +9.1824e-01 -2.1256e+00 +1.2590e+00 +4.2448e+00 -3.6102e+00 +4.2666e+00 +5.1217e-01 +2.1327e+00 -3.3115e+00 -1.8290e+00 +1.1081e+00 +1.2652e-01 +2.7988e+00
6 +4.544118545e+08 +4.544118545e+08 +4.544115996e+08 +4.544115996e+08 +3.9608e+00 +2.5926e+00 +2.5727e+00 +2.0903e+00 +2.1449e+00 -2.1150e+00 -2.8669e-01 +3.6927e+00 +1.9280e+00 +3.0513e+00 +3.1560e+00 -5.7258e-01 +4.9026e+00 -1.1060e+00 +4.7777e+00 -4.8748e+00 -2.3752e-01 -8.2169e-01 +2.3910e+00 -1.5258e+00
60 +1.833459717e+08 +1.833459717e+08 +1.833457169e+08 +1.833457169e+08 +4.8947e+00 +1.1321e+00 +4.4173e+00 -1.2548e+00 -1.7730e+00 +3.2960e+00 -4.0388e+00 +4.3851e+00 +4.0311e+00 -4.3085e+00 -4.4517e-01 +1.8568e+00 -7.2401e-01 -3.0934e+00 -3.0772e+00 -2.0875e+00 +1.7779e+00 +2.0329e+00 -1.9382e+00 +3.1950e+00
77 +1.574734590e+08 +1.574734590e+08 +1.574732042e+08 +1.574732042e+08 +2.7255e+00 +4.1860e+00 +1.8971e-01 -8.6311e-01 -4.4371e+00 +2.6949e-01 +3.1349e+00 +2.6809e+00 +9.3620e-01 -9.1123e-01 +3.8573e+00 +4.0492e-01 +5.3250e-01 +2.8901e+00 -3.2631e+00 +7.5190e-02 +1.3181e+00 +2.4525e+00 -4.2579e+00 +4.7809e+00
249 +1.352817690e+08 +1.352817690e+08 +1.352815142e+08 +1.352815142e+08 +2.2520e+00 +2.6253e+00 -3.1496e-01 +1.7118e+00 -1.7085e+00 -2.9660e+00 +8.1530e-01 +4.5296e+00 -2.2638e+00 +2.6512e+00 +1.8514e+00 +3.8629e+00 -4.5493e+00 -2.9562e+00 -3.4796e+00 -4.6447e+00 +3.4211e+00 -1.2110e+00 -4.6220e+00 -4.7087e-01
1085 +1.127018512e+08 +1.127018512e+08 +1.127015963e+08 +1.127015963e+08 +4.7118e+00 +3.8205e+00 +2.1385e-01 +1.8446e+00 -4.0347e+00 -2.8639e+00 -1.6517e-02 +1.5762e+00 +1.9745e+00 +8.5465e-01 +6.2594e-01 +4.0270e+00 -3.2242e+00 +2.2470e+00 -2.7529e+00 -2.8329e+00 +3.3177e+00 +3.1165e+00 -2.6039e-01 +1.4041e+00
12169 +1.064024680e+08 +1.064024680e+08 +1.064022132e+08 +1.064022132e+08 +3.3475e+00 +1.0564e+00 +8.2484e-01 +7.3012e-01 -4.8145e+00 -3.2335e+00 -2.4741e+00 +3.4900e+00 +4.8518e+00 +4.0956e+00 +2.9546e+00 +3.6561e+00 -4.4203e+00 -2.0099e+00 -3.8163e+00 -7.7862e-01 +1.6560e+00 -8.5374e-01 +1.3535e-01 +2.7238e+00
12189 +1.035449288e+08 +1.035449288e+08 +1.035446739e+08 +1.035446739e+08 +2.0732e+00 +4.9773e+00 +2.4555e+00 -1.5639e-01 -1.8399e+00 -4.0126e-01 +2.4982e+00 +1.9281e+00 -1.3990e-01 +1.9472e+00 +9.7657e-01 +3.5946e+00 -1.2959e+00 +5.5438e-01 -4.5439e-01 -1.2196e+00 +4.8527e+00 +3.3781e+00 -3.5051e+00 +4.1066e+00
18417 +1.011079409e+08 +1.011079409e+08 +1.011076861e+08 +1.011076861e+08 +4.4821e+00 +1.8948e+00 -4.3193e-01 -2.9465e+00 -2.9262e+00 -2.8746e+00 -3.9430e-01 +9.9272e-01 -1.7872e+00 -7.7296e-01 +4.0910e+00 +3.7237e+00 -1.6028e+00 -1.1267e+00 -1.4684e+00 +1.0541e+00 +3.9797e+00 -2.7788e+00 -4.6213e-01 +8.2861e-01
34407 +8.543241783e+07 +8.543241783e+07 +8.543216301e+07 +8.543216301e+07 +3.7552e+00 +4.9980e+00 +3.5596e+00 -3.0473e+00 -3.0246e+00 -2.1223e+00 -1.8131e+00 +1.1840e+00 +1.3643e+00 +2.5083e+00 +3.7956e+00 -3.0044e+00 -3.6194e-01 -2.2194e+00 -4.1600e+00 -4.3611e+00 +1.7303e-01 -5.3403e-01 -2.5019e+00 +3.9590e+00
36648 +6.647356086e+07 +6.647356086e+07 +6.647330604e+07 +6.647330604e+07 +3.6481e+00 +8.9433e-01 +1.1271e+00 +1.5156e+00 -4.2463e+00 -2.1918e+00 -3.4756e+00 +1.3951e+00 +9.2272e-01 +4.6466e+00 +2.7537e+00 +1.0655e+00 -2.5374e+00 -2.8219e+00 +7.0372e-01 -3.4953e+00 +3.2447e+00 -2.5722e+00 -1.7621e-01 +4.6369e+00
244547 +5.255485052e+07 +5.255485052e+07 +5.255459570e+07 +5.255459570e+07 +4.9739e+00 +2.3510e+00 -3.3413e-01 +1.6869e+00 -2.2180e+00 -9.9292e-01 +9.0239e-01 +4.7605e+00 +2.8288e+00 +2.4075e+00 +4.4711e+00 -4.8607e-01 -4.0841e+00 -2.4988e+00 -4.2745e+00 -2.3253e+00 +2.3372e+00 -1.6789e+00 -1.1712e+00 +3.4948e+00
1633789 +4.221761762e+07 +4.221761762e+07 +4.221736280e+07 +4.221736280e+07 +4.0686e+00 +4.2161e+00 +1.5794e+00 -1.9184e+00 -7.8586e-01 -2.4782e-01 -1.0344e+00 -1.8689e+00 -1.1701e+00 +3.3447e+00 +2.1454e+00 +3.2508e+00 -2.8216e+00 -3.1075e+00 -2.5854e+00 -4.0330e+00 +4.4184e-01 +7.5881e-01 -2.6498e+00 +3.6266e+00
3366713 +3.520686191e+07 +3.520686191e+07 +3.520660709e+07 +3.520660709e+07 +4.4117e+00 +4.8248e+00 +5.3211e-01 -1.9590e+00 -2.6760e-01 +6.8858e-01 -2.5810e-01 +2.9445e+00 +4.3592e-01 +4.4894e+00 +2.4494e+00 +1.2972e+00 -2.8210e+00 -3.4225e-01 +2.9465e-01 -1.5215e+00 +4.7907e+00 -3.0202e+00 -2.5998e+00 +2.2190e+00
24032120 +3.393186769e+07 +3.393186769e+07 +3.393161287e+07 +3.393161287e+07 +3.4262e+00 +2.9289e+00 +2.0676e-01 +3.8851e-01 -1.6073e+00 -2.1567e+00 -1.2157e+00 +3.7442e+00 -5.1253e-01 +4.5584e+00 +4.4386e+00 +3.0028e+00 -1.4793e+00 -3.8425e+00 -2.0788e+00 -5.5110e-01 +4.5270e+00 +7.7147e-01 +1.4793e-02 +2.6608e+00
31385836 +2.878417859e+07 +2.878417859e+07 +2.878392377e+07 +2.878392377e+07 +4.9252e+00 +2.5184e+00 +1.3580e+00 +1.4506e+00 -2.6719e+00 -4.9888e-01 -1.3743e+00 +2.9324e+00 +2.3556e+00 +4.4341e+00 +4.0452e+00 +2.7884e+00 +4.2997e-01 -4.7126e-01 -2.5716e+00 -2.7414e+00 +3.5765e+00 -3.5553e+00 -4.4586e+00 +1.7270e+00
71571327 +2.293588150e+07 +2.293588150e+07 +2.293562668e+07 +2.293562668e+07 +4.8685e+00 +2.3413e+00 +5.0579e-01 -2.9320e+00 -1.6861e+00 -2.8452e-01 -3.5290e+00 +3.1993e+00 -5.7919e-01 +4.7543e+00 +3.3544e+00 +4.3615e-01 +3.8665e-01 -1.5281e+00 -2.3705e+00 -6.2053e-01 +3.9142e+00 -2.1662e+00 -2.6463e+00 +1.3313e+00
% function evaluation | noise-free fitness - Fopt (5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.487874163e+09 +3.487874163e+09 +3.487874220e+09 +3.487874220e+09 +1.4124e+00 -1.6958e+00 -2.0980e+00 -1.3176e+00 -2.4937e+00 -2.6892e-01 +4.5034e+00 +3.0657e+00 -3.1680e+00 -4.5754e-01 -1.8241e+00 -1.7054e+00 -3.0939e+00 +1.0495e+00 +2.5399e+00 -1.1272e+00 -3.5094e+00 -4.2198e+00 +3.9482e+00 -4.8316e-01
2 +3.377887366e+09 +3.377887366e+09 +3.377887423e+09 +3.377887423e+09 +4.2964e+00 +2.2847e+00 -4.3493e-01 -4.7540e+00 -5.4754e-01 -3.7084e+00 +4.0741e+00 -1.2064e+00 +4.3355e+00 +4.9846e+00 +3.4375e+00 -2.1448e-01 -4.8855e+00 +3.4487e+00 +4.7175e+00 -4.7186e+00 -2.8135e+00 +1.6643e-02 -2.1978e+00 -1.3020e+00
4 +8.666251905e+08 +8.666251905e+08 +8.666252471e+08 +8.666252471e+08 -1.5860e-01 -2.5541e+00 -3.2114e+00 -4.4445e+00 -1.6819e+00 +1.3874e+00 -3.6057e+00 -4.8423e+00 +2.1260e+00 -4.1268e-01 -4.3996e+00 -2.9035e+00 -3.6403e+00 +2.3095e+00 -7.4257e-01 +2.1351e+00 -3.5439e+00 -2.0976e+00 -3.8873e+00 -4.2529e-01
7 +6.286618964e+08 +6.286618964e+08 +6.286619530e+08 +6.286619530e+08 -2.1554e+00 -1.7737e+00 +9.2369e-01 -3.7673e-01 +3.7362e+00 -4.1361e+00 -6.6011e-01 -1.2687e+00 +3.5369e+00 +4.5183e+00 -3.2518e+00 -4.3265e+00 +6.0798e-01 +2.3138e+00 -2.2928e+00 -1.8082e+00 +1.6800e+00 -2.1162e+00 -9.4320e-01 -2.0231e+00
9 +5.416123580e+08 +5.416123580e+08 +5.416124146e+08 +5.416124146e+08 +2.2852e+00 +1.3191e+00 -3.9332e-01 +4.6445e+00 +2.0244e+00 +8.4756e-01 +2.1131e+00 -1.1202e+00 -4.2299e+00 -1.6188e+00 +3.9947e+00 +2.7997e+00 +2.7635e+00 +7.3845e-01 +1.9909e-01 +7.3206e-01 +3.7581e+00 +2.3248e+00 +4.8225e-01 -3.3894e+00
29 +4.751880885e+08 +4.751880885e+08 +4.751881452e+08 +4.751881452e+08 -4.5343e+00 -5.5732e-02 -2.5452e+00 +4.0808e+00 -8.2205e-01 +1.9465e+00 -2.5037e+00 +3.8717e+00 -4.3796e+00 +2.8423e+00 +1.8182e+00 +1.9593e+00 -3.9287e-01 -1.2985e-01 -3.3651e+00 +3.0183e+00 -2.1157e+00 -2.3304e+00 -3.6614e+00 +2.0400e+00
46 +3.830768912e+08 +3.830768912e+08 +3.830769478e+08 +3.830769478e+08 -1.1734e+00 +2.0554e+00 +6.1155e-01 +4.5762e+00 -3.8969e+00 -3.9270e-01 +1.4296e+00 -2.0902e+00 +1.1550e+00 +3.8672e+00 +3.0124e+00 -6.2479e-01 +4.7190e+00 +1.8782e+00 +4.8421e+00 +1.6135e+00 +4.5279e+00 -2.2854e+00 +3.0713e+00 -2.7047e+00
58 +1.621505380e+08 +1.621505380e+08 +1.621505946e+08 +1.621505946e+08 +2.7822e-01 -2.1128e+00 -2.3738e+00 -7.6477e-01 -4.7001e+00 +3.4153e+00 +1.2033e+00 -4.5725e+00 -1.9182e+00 +2.3148e+00 -1.6923e+00 +4.6237e+00 +2.6944e+00 +3.6336e+00 +5.7161e-01 +9.1733e-01 -2.0732e+00 -1.6916e+00 -3.4247e-01 -6.7021e-01
2293 +1.413330859e+08 +1.413330859e+08 +1.413331425e+08 +1.413331425e+08 +1.0513e+00 -1.1954e+00 -3.7638e+00 +3.5891e+00 -1.7845e+00 -7.0552e-01 -1.8973e+00 -3.1373e+00 -2.0676e+00 +9.1402e-01 +4.5033e+00 -1.1235e+00 +1.2025e+00 +7.6770e-01 -3.5790e+00 +3.9429e+00 -2.7549e+00 -3.5947e+00 +5.9886e-01 -4.6138e+00
2410 +1.297811873e+08 +1.297811873e+08 +1.297812440e+08 +1.297812440e+08 -1.4284e+00 -3.3371e+00 -3.3952e+00 +1.6376e+00 -3.3472e+00 -8.2312e-01 -7.5137e-01 -4.4241e-01 +3.1359e+00 +4.5907e+00 +4.2884e-01 -3.8416e-01 +4.3913e+00 +4.9405e+00 +1.0112e+00 +8.1183e-01 +4.0763e+00 +2.9707e+00 -1.0834e+00 -4.6725e+00
3346 +1.274196924e+08 +1.274196924e+08 +1.274197490e+08 +1.274197490e+08 -3.2830e+00 +3.1260e-02 +3.1680e+00 +7.5454e-01 -2.5031e+00 -2.1910e+00 +3.2236e-01 -4.6010e+00 -6.9877e-01 -6.2279e-01 +2.0206e+00 +3.6684e+00 +3.6947e+00 +4.4377e+00 -3.0417e+00 -2.7811e+00 +2.4183e-01 +1.7070e+00 +2.2052e+00 -5.1050e-01
6498 +1.127322153e+08 +1.127322153e+08 +1.127322719e+08 +1.127322719e+08 -2.6399e+00 +1.5569e+00 -2.0399e+00 +9.6025e-01 -3.0502e+00 -1.1915e-01 +3.2981e+00 +9.0955e-02 -1.8605e-01 +4.2170e+00 +4.1066e+00 -6.0836e-01 +2.5421e+00 +1.5049e-01 -2.7537e+00 +2.9316e+00 -2.7218e+00 -1.6630e+00 +6.7875e-01 -2.6511e+00
7244 +1.023754468e+08 +1.023754468e+08 +1.023755034e+08 +1.023755034e+08 -3.5023e-01 -3.5217e-01 -3.2810e+00 -2.1559e-01 -4.6446e+00 -3.0643e+00 +4.0846e+00 -4.7886e+00 -3.7525e+00 +4.8723e+00 +3.6107e-01 +4.8593e+00 +3.7164e+00 +4.4890e+00 -4.9228e+00 +4.3411e-01 +3.4217e-01 -2.7454e-01 +1.7159e+00 +7.8731e-02
8691 +8.559491866e+07 +8.559491866e+07 +8.559497527e+07 +8.559497527e+07 -4.4297e+00 -2.2009e+00 -1.6218e+00 +2.7284e+00 -3.1519e+00 -3.1975e+00 -3.7320e-01 -4.3709e+00 -8.2752e-01 +2.5216e-01 +4.4823e+00 +4.7244e-01 +4.2092e+00 +3.7386e+00 -4.2719e+00 -2.9918e+00 +9.7780e-02 +2.7594e+00 +1.3750e-02 -2.2221e+00
26240 +7.516469027e+07 +7.516469027e+07 +7.516474688e+07 +7.516474688e+07 -2.0342e+00 -2.6188e+00 -2.9570e+00 +3.4437e-01 -9.4694e-01 +9.0955e-01 +8.6450e-01 -2.1776e+00 -3.5961e-01 +3.3400e+00 +4.2872e+00 +4.0267e+00 +1.0050e+00 +4.8334e+00 -1.3742e+00 -3.8689e-01 -3.1102e+00 +1.9492e+00 +1.6017e+00 -3.1736e+00
214366 +7.366118345e+07 +7.366118345e+07 +7.366124006e+07 +7.366124006e+07 -4.3688e+00 -2.9645e+00 -2.5335e+00 +4.9847e+00 -2.6086e+00 +3.8903e-01 +2.4573e+00 -3.1502e+00 +3.6520e+00 +3.0944e+00 +8.0602e-01 +2.8633e+00 +8.5839e-01 +4.3087e+00 -3.3281e+00 +2.7310e+00 +1.8464e+00 +6.9677e-01 -2.3537e-01 -4.0958e+00
474382 +4.656505556e+07 +4.656505556e+07 +4.656511217e+07 +4.656511217e+07 -3.2595e+00 -1.4253e+00 -4.1329e+00 +7.7044e-01 -2.5358e+00 -2.1603e+00 -5.7862e-01 -3.8799e+00 -4.2835e-01 -1.7949e+00 +2.6099e+00 +2.4445e+00 +7.4923e-01 +7.0885e-02 -2.4322e+00 +1.7314e+00 +2.0688e+00 +1.3318e+00 -1.4478e+00 -2.2841e+00
1569926 +4.487780022e+07 +4.487780022e+07 +4.487785683e+07 +4.487785683e+07 -4.6950e+00 +8.7734e-01 -3.3216e+00 +1.5034e+00 -1.9203e+00 +1.8702e-01 +6.4431e-01 -4.7445e+00 -2.2952e+00 +2.5561e+00 +2.3166e+00 +2.4175e+00 +2.4155e+00 +1.3768e+00 -3.9224e-01 +3.5325e+00 -1.1753e+00 +1.7227e+00 +1.8345e+00 -3.8088e+00
3664996 +4.136555091e+07 +4.136555091e+07 +4.136560752e+07 +4.136560752e+07 -4.5441e+00 -2.0592e+00 -2.8235e+00 -1.5936e-01 -3.2618e+00 -1.6061e+00 +1.6585e-01 -2.6772e+00 -2.6306e+00 -2.0390e-01 +2.8922e+00 +1.7908e+00 +4.0921e+00 +1.4839e+00 -5.9906e-01 +2.5381e+00 +1.5826e+00 +4.3436e+00 +2.3220e+00 -4.6188e+00
11130006 +3.578058892e+07 +3.578058892e+07 +3.578064553e+07 +3.578064553e+07 -4.0990e+00 -3.3375e+00 -4.4702e+00 +1.2200e+00 -3.0970e+00 -1.6370e+00 +3.4994e+00 -2.2613e+00 +1.8780e+00 +1.2232e+00 +3.3345e+00 -5.6614e-01 +1.9710e+00 +9.8302e-01 -4.6741e+00 +6.0528e-01 +1.9440e+00 +7.8555e-01 +6.0649e-01 -3.8251e+00
13432040 +3.390450342e+07 +3.390450342e+07 +3.390456003e+07 +3.390456003e+07 -4.2132e+00 +9.2645e-02 -2.8615e+00 +1.4257e+00 -1.0373e+00 -1.5397e+00 +1.4839e+00 -3.1556e+00 -2.1337e+00 +2.2275e-01 +2.3918e+00 +3.1851e+00 +4.1618e+00 +2.7015e+00 -1.1193e+00 +2.2845e+00 +2.4383e+00 +2.9347e+00 -3.9515e-02 -2.4478e+00
46219147 +3.329517295e+07 +3.329517295e+07 +3.329522956e+07 +3.329522956e+07 -3.5435e+00 -2.1680e+00 -3.4563e+00 +1.2417e+00 -1.4620e+00 +3.6504e-01 +3.7582e+00 -3.6006e+00 -9.5891e-01 +2.5587e+00 +1.0994e+00 +3.1431e+00 +6.2750e-01 +2.5011e+00 -4.0614e+00 +4.9790e-01 -1.9172e+00 +2.8860e+00 +3.2822e+00 -3.2650e+00
67182333 +2.759304545e+07 +2.759304545e+07 +2.759310206e+07 +2.759310206e+07 -2.2829e+00 -3.0385e+00 -3.4850e+00 +1.1212e-01 -8.7757e-01 -3.6211e+00 +7.4124e-02 -1.9319e+00 -1.8277e-01 +9.2055e-01 +2.6995e+00 +2.3457e+00 +1.3570e+00 +2.2154e+00 -3.9080e+00 +5.6567e-01 -8.3686e-01 +1.0740e+00 +5.2089e-01 -3.6252e+00
96855306 +1.667886545e+07 +1.667886545e+07 +1.667892206e+07 +1.667892206e+07 -3.5985e+00 -1.8456e+00 -4.7714e+00 +4.3532e-01 -2.8715e+00 -1.7798e+00 +4.4901e+00 -2.4383e+00 -2.2465e+00 +1.8344e+00 +2.4181e+00 +4.5293e-01 +3.9012e+00 +1.1352e+00 -2.8339e+00 +1.3015e+00 +2.3021e+00 +3.8022e+00 +3.6181e-01 -3.4485e+00
% function evaluation | noise-free fitness - Fopt (-1.810000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.972021916e+08 +7.972021916e+08 +7.972021735e+08 +7.972021735e+08 +2.7070e+00 +4.0532e-01 -1.7243e+00 -4.1556e+00 +3.1262e+00 -1.3001e+00 +4.9604e+00 +4.1048e+00 -4.7163e+00 +3.4840e+00 +4.1747e+00 -1.1701e+00 +4.8606e+00 -2.3938e+00 +6.9560e-01 +3.4313e+00 -3.1929e+00 -4.8805e+00 -2.4367e+00 +1.3004e+00
2 +3.190090079e+08 +3.190090079e+08 +3.190089898e+08 +3.190089898e+08 +2.8969e+00 -1.1354e+00 -4.3165e+00 +4.9642e+00 +2.5388e+00 +4.2113e+00 -1.6608e+00 +4.8420e+00 -2.0016e+00 -9.1997e-01 -3.9684e+00 -2.1672e+00 +4.0477e+00 +1.5383e+00 -9.0354e-01 -4.9594e-01 -2.2170e+00 -3.9791e+00 -3.7725e+00 +4.2225e+00
3 +2.725005641e+08 +2.725005641e+08 +2.725005460e+08 +2.725005460e+08 +9.4076e-01 +1.5901e+00 +2.6300e+00 +3.9540e+00 +4.4913e+00 +1.4306e-01 +2.3157e+00 +2.0978e+00 -3.2556e+00 +2.0635e+00 -1.5510e+00 -4.3009e+00 -3.9179e+00 +1.7163e+00 -3.8424e+00 +5.2541e-01 +2.6211e+00 -4.8921e+00 -1.6456e+00 +3.4252e+00
8 +1.217534554e+08 +1.217534554e+08 +1.217534373e+08 +1.217534373e+08 +1.2371e+00 -3.6489e+00 +9.8718e-01 -1.4679e+00 +1.3651e+00 -4.5989e+00 -1.5508e+00 -5.1333e-01 +1.6990e-01 +3.4001e+00 -1.0020e+00 -2.6024e+00 +3.0708e+00 -2.7063e+00 +6.5388e-01 +2.3783e-01 +1.1311e+00 -3.8022e+00 +1.8337e+00 +4.1648e+00
1554 +1.174512565e+08 +1.174512565e+08 +1.174512384e+08 +1.174512384e+08 +4.5036e-01 -3.8302e+00 +2.3822e+00 -6.9794e-01 +2.9364e+00 -3.0767e+00 +3.5601e+00 -4.3489e+00 +9.7442e-02 +2.7116e+00 -1.4314e+00 -2.3525e+00 +4.9909e+00 +2.0891e+00 -1.6188e+00 +1.7081e+00 -4.3335e+00 -3.6137e+00 +4.9098e+00 +6.5822e-01
