% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
41391 +2.499713833e+05 +2.499713833e+05 +2.500072833e+05 +2.500072833e+05 -1.8577e+00 +2.5337e+00 -1.2293e+00 +3.1628e+00 -3.2678e+00 -3.7881e+00 +1.1442e+00 -4.6273e+00 -3.4471e+00 +2.9764e+00 +7.0908e-01 -4.4916e-01 +1.0065e+00 -4.3101e+00 +3.8115e+00 -4.1552e+00 -2.9830e-01 +4.3004e+00 -2.7638e+00 -2.4089e+00
45763 +2.452573883e+05 +2.452573883e+05 +2.452932883e+05 +2.452932883e+05 -5.4758e-01 +4.6507e+00 +2.5433e+00 +2.0658e+00 -4.2377e+00 +7.5335e-01 +1.0392e+00 -3.0281e+00 +3.3693e+00 +1.2348e+00 -4.4917e+00 +2.4302e+00 -1.3615e+00 +1.2536e+00 +3.4240e+00 -4.0564e+00 +2.0939e+00 +4.9433e+00 -2.7151e+00 +3.4937e-01
60079 +1.762564964e+05 +1.762564964e+05 +1.762923964e+05 +1.762923964e+05 +1.6467e+00 +3.0005e+00 -7.7101e-01 +3.2254e+00 -1.6950e+00 -4.0810e+00 -2.5359e+00 -9.9430e-02 -1.8185e+00 -1.5623e+00 -4.2988e+00 +3.7106e+00 -5.8621e-01 -2.0250e+00 +3.0627e+00 -3.1570e+00 +5.3509e-01 +4.1450e+00 +1.2043e+00 -3.7785e+00
84241 +1.725184832e+05 +1.725184832e+05 +1.725543832e+05 +1.725543832e+05 -3.0099e+00 +3.7819e+00 +1.7352e+00 +3.6676e+00 -2.4078e+00 -9.5429e-02 -3.4297e+00 -4.0763e+00 +1.7066e+00 -4.2822e+00 -2.6732e+00 -3.9335e+00 -4.3605e+00 -5.7005e-01 +3.5060e+00 -3.4534e+00 +2.5251e+00 +4.9802e+00 +6.6751e-01 -5.8092e-01
90933 +1.399660200e+05 +1.399660200e+05 +1.400019200e+05 +1.400019200e+05 -1.9747e+00 +4.6720e+00 +3.9539e+00 +9.8765e-01 -2.0113e+00 -4.6442e+00 +1.6908e+00 -4.8220e+00 -6.0763e-01 +3.2074e+00 -1.7961e+00 +4.4808e+00 +2.6026e+00 -2.6739e+00 +2.6313e+00 -4.1360e+00 +1.8588e+00 +4.8844e+00 +1.0859e-01 -5.2432e-01
145764 +1.262041741e+05 +1.262041741e+05 +1.262400741e+05 +1.262400741e+05 -1.3455e+00 +4.4837e+00 +5.0016e-01 +4.4171e+00 -4.1322e+00 -2.9471e+00 +7.5671e-01 -1.3988e+00 -2.1812e+00 -4.3432e+00 +6.3715e-01 +1.1048e+00 +1.8461e+00 -3.3951e+00 +3.9758e+00 -3.2428e+00 +2.2790e+00 +4.0941e+00 -2.8324e+00 -4.0839e+00
395199 +1.190097766e+05 +1.190097766e+05 +1.190456766e+05 +1.190456766e+05 +4.2855e+00 +3.7604e+00 +4.0790e+00 +4.4509e+00 -3.6721e+00 -3.1510e+00 +1.0541e-01 -3.4384e+00 -2.4154e+00 -4.6441e+00 -3.8793e+00 -2.0620e+00 -1.6809e+00 -1.0477e+00 +4.1159e+00 -4.5254e+00 +4.5746e+00 +4.5079e+00 +3.6997e+00 -1.3272e+00
813862 +1.149659613e+05 +1.149659613e+05 +1.150018613e+05 +1.150018613e+05 +2.5092e+00 -6.7196e-01 +1.8198e+00 +2.2005e+00 -4.4252e+00 -4.0690e+00 -2.0487e+00 -4.0160e+00 -3.9985e+00 -4.6859e+00 -4.3699e+00 -2.2023e+00 +6.0343e-01 -1.8385e+00 +9.7765e-01 -1.1689e+00 -3.4610e+00 +4.6881e+00 -3.5610e+00 -4.7482e+00
1168991 +7.537263225e+04 +7.537263225e+04 +7.540853225e+04 +7.540853225e+04 +3.2730e+00 +4.0069e+00 +2.9123e+00 +3.3240e+00 -3.6920e+00 -3.0693e+00 -3.4220e+00 -3.8826e+00 -1.8536e+00 -3.4909e+00 -4.5697e+00 -3.3069e-01 +7.7063e-01 -3.0482e+00 +2.7494e+00 -2.7821e+00 +3.9493e-01 +4.5514e+00 -2.0273e+00 -4.8549e+00
1861043 +6.646182855e+04 +6.646182855e+04 +6.649772855e+04 +6.649772855e+04 +7.6608e-01 +2.3163e+00 +1.3052e+00 +9.3333e-01 -2.5393e+00 -4.4209e+00 +3.5024e+00 -2.7165e+00 -1.4713e+00 -4.9481e+00 +2.8624e+00 +5.1567e-01 +2.2138e-01 -3.7239e+00 +2.7680e+00 -4.9757e+00 +2.3255e+00 +3.7201e+00 -1.3037e+00 -3.9791e+00
4298799 +6.287198358e+04 +6.287198358e+04 +6.290788358e+04 +6.290788358e+04 +1.4300e+00 +1.6664e+00 +3.9024e+00 +4.1416e+00 -1.1917e+00 -5.4670e-01 -4.3789e+00 -2.5318e+00 +1.3001e+00 -3.6881e+00 -2.6078e+00 -2.3346e+00 -3.3579e+00 +4.2727e-02 +2.6743e+00 -3.1907e+00 +2.0965e+00 +4.6883e+00 -1.5535e+00 -3.9822e+00
4819191 +6.092004397e+04 +6.092004397e+04 +6.095594397e+04 +6.095594397e+04 +3.7311e+00 +2.4074e-01 +2.8184e+00 +2.4042e+00 -1.0131e+00 -4.4948e+00 +7.1810e-02 -4.1147e+00 +1.2488e+00 -1.7831e+00 -3.3547e+00 -1.6662e+00 -1.3064e+00 +1.9666e+00 -1.8928e-01 -4.5249e+00 -1.3221e-01 +4.2703e+00 -1.8279e+00 -3.7525e+00
21270842 +3.283326693e+04 +3.283326693e+04 +3.286916693e+04 +3.286916693e+04 +3.1083e+00 +8.2800e-01 +3.1891e+00 +1.9999e+00 -3.9104e+00 -4.4496e+00 -2.1790e-01 -4.7015e+00 -1.6156e+00 -4.6306e+00 +7.8266e-01 -1.9015e+00 -2.6527e+00 -1.2194e+00 +1.6323e+00 -4.4883e+00 +2.1970e+00 +3.7171e+00 -2.4789e+00 -3.8204e+00
52738451 +2.167267872e+04 +2.167267872e+04 +2.170857872e+04 +2.170857872e+04 +2.9804e+00 +3.3258e+00 +3.2748e+00 +3.3290e+00 -4.9158e+00 -1.7182e+00 +1.1716e+00 -3.6099e+00 +4.1052e-01 -3.5948e+00 +4.0122e-01 -5.5354e-02 -4.2690e+00 -3.3662e-01 +1.4156e+00 -4.3532e+00 +1.7472e+00 +4.9082e+00 -3.5075e+00 -2.4390e+00
114189731 +1.955709368e+04 +1.955709368e+04 +1.959299368e+04 +1.959299368e+04 +1.3629e+00 +4.3782e+00 +3.7034e+00 +3.0997e+00 -2.0921e+00 -4.9362e+00 -2.1042e+00 -4.7935e+00 -2.0452e+00 -1.0243e+00 -4.5018e+00 +1.4334e+00 -3.4190e+00 -3.1690e+00 +3.4376e-01 -4.9009e+00 +1.3686e+00 +3.7280e+00 +7.7527e-01 -1.0756e+00
% function evaluation | noise-free fitness - Fopt (3.137000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.002763385e+06 +1.002763385e+06 +1.002794755e+06 +1.002794755e+06 +3.2582e-01 -4.3721e+00 +1.4921e+00 -5.4668e-01 +3.3004e-02 -3.0297e+00 -4.0251e+00 -1.6324e+00 -4.1017e+00 -4.2113e+00 -3.7030e+00 -8.0831e-01 +5.1094e-01 +4.4295e+00 +4.1881e+00 -3.8730e-01 +4.9597e+00 -4.3989e+00 +1.9410e+00 +2.9088e-01
3 +5.620117064e+05 +5.620117064e+05 +5.620430764e+05 +5.620430764e+05 +5.6187e-02 +2.4383e+00 -3.0236e+00 -4.7165e+00 -1.8489e+00 -4.4810e+00 -1.3024e+00 +3.9273e+00 +3.4019e+00 -4.6688e+00 +3.4701e+00 +8.3641e-01 -1.6257e+00 +2.7770e+00 +4.0195e+00 +4.8408e-01 +3.4792e+00 +7.4999e-01 -3.3761e+00 +2.0129e-01
53 +3.628280939e+05 +3.628280939e+05 +3.628594639e+05 +3.628594639e+05 +1.0015e+00 +1.4690e-01 -4.7648e+00 +4.5857e+00 -4.1764e+00 +3.3851e+00 +2.7375e-01 +1.2692e+00 +3.7554e+00 -2.8251e+00 +3.8601e+00 +4.2031e+00 -2.1485e+00 -1.0373e+00 +4.3270e+00 -3.6787e+00 +2.0690e+00 +1.5079e+00 -2.6416e+00 +2.1141e+00
97 +3.116531016e+05 +3.116531016e+05 +3.116844716e+05 +3.116844716e+05 +8.2328e-01 -4.1168e+00 +2.4655e+00 +3.9709e+00 -1.3518e+00 -3.9831e+00 +2.1806e+00 -1.9150e+00 -1.8582e-01 -3.4620e+00 -1.9835e+00 -3.9743e+00 +3.6528e+00 +1.9320e-01 +1.1626e-02 -6.7141e-01 +7.9665e-01 -1.5706e+00 -3.1815e+00 -1.2456e+00
99 +3.055045624e+05 +3.055045624e+05 +3.055359324e+05 +3.055359324e+05 +6.1720e-01 -4.3165e+00 -1.9829e+00 +2.3525e+00 +1.6777e+00 -2.6772e+00 -3.5785e+00 +4.4809e+00 +4.0781e+00 -1.2273e+00 +4.0887e+00 -7.3607e-02 +4.2102e+00 -3.7564e+00 +4.0603e+00 +2.8930e+00 +2.3434e+00 +1.9481e+00 -4.6669e+00 +2.7718e+00
203 +2.901130748e+05 +2.901130748e+05 +2.901444448e+05 +2.901444448e+05 +3.8843e+00 -4.5166e+00 -2.6699e+00 -1.6866e+00 -4.8232e+00 -2.3269e+00 -8.1344e-01 +3.0566e+00 +4.5432e-01 -3.9873e-01 +3.6707e+00 +1.1230e+00 -1.0729e+00 -4.0776e+00 +3.1232e+00 +4.2813e+00 +4.6989e+00 -1.6222e+00 +2.9344e+00 +1.6567e+00
415 +2.787514548e+05 +2.787514548e+05 +2.787828248e+05 +2.787828248e+05 +3.5428e+00 -1.3609e-01 -2.1155e+00 +3.9220e+00 -1.5747e+00 +8.9624e-01 +2.2903e+00 +3.9614e+00 +3.6490e+00 -2.2148e+00 +2.7162e+00 +9.4042e-02 +4.2116e+00 +2.4970e+00 +1.3449e+00 +1.0645e+00 +2.5463e+00 -4.0390e+00 -4.0746e+00 +4.7689e+00
423 +1.641179578e+05 +1.641179578e+05 +1.641493278e+05 +1.641493278e+05 +4.4934e+00 -4.2736e+00 -4.6936e+00 +2.4995e+00 -4.3452e+00 +3.9842e+00 -2.1830e+00 +4.4030e+00 -2.9810e-01 +2.8790e+00 -3.5047e-01 +1.5161e+00 -1.9943e+00 +3.8852e+00 +1.0840e+00 +2.2218e+00 +4.9174e+00 -3.9374e+00 -4.4427e+00 -1.7225e+00
1059 +1.564225325e+05 +1.564225325e+05 +1.564539025e+05 +1.564539025e+05 +1.7327e+00 -3.2417e+00 -4.3329e+00 +3.5038e+00 -1.0048e+00 +1.1869e+00 -1.8895e+00 +3.5565e-01 -2.5937e+00 -2.5483e+00 -1.1869e+00 -1.1854e+00 -4.0080e-01 -6.2764e-01 +3.6103e+00 +1.3766e+00 -3.8340e+00 -3.1906e+00 -4.0841e+00 -8.1666e-02
1248 +6.285845802e+04 +6.285845802e+04 +6.288982802e+04 +6.288982802e+04 +2.0154e+00 -4.7936e-02 -1.4171e+00 +4.6002e+00 -4.0622e+00 -4.3827e+00 +1.3006e+00 +4.6020e+00 +2.5768e+00 -1.4917e+00 -1.4699e+00 -2.6247e+00 +3.3016e+00 +1.6772e+00 -1.3345e-01 +2.3834e+00 -3.1595e+00 -4.1021e+00 -1.7337e+00 +4.6000e+00
8339 +6.032168363e+04 +6.032168363e+04 +6.035305363e+04 +6.035305363e+04 +4.6175e+00 +2.8878e-01 -1.1997e-01 +4.3921e+00 -1.0707e+00 -2.2159e-01 -1.6946e+00 +6.5222e-01 -2.4666e+00 -3.7177e+00 +9.4607e-01 -2.5616e+00 +2.6514e+00 -6.3185e-01 +1.7490e+00 +2.0079e+00 +9.6439e-01 -2.9988e+00 +1.4072e+00 +7.7420e-01
9091 +5.919618899e+04 +5.919618899e+04 +5.922755899e+04 +5.922755899e+04 +2.5411e+00 +9.1379e-01 -2.4845e+00 +4.3866e+00 -2.8780e+00 +1.0103e+00 -3.5839e+00 +3.2223e+00 +1.2564e-01 -1.7162e+00 -1.0736e+00 +4.7680e+00 +3.0588e-01 -1.5474e+00 +1.9496e+00 -1.1388e+00 +1.0621e+00 -3.4513e+00 +2.4084e+00 +1.0941e+00
11297 +5.376230620e+04 +5.376230620e+04 +5.379367620e+04 +5.379367620e+04 +4.2486e+00 +6.6458e-01 -2.8699e+00 +4.5216e+00 -2.1458e+00 -7.3966e-01 -4.6629e+00 +3.6112e+00 -4.6648e+00 -2.8268e-01 +1.7446e+00 +2.6952e-01 +4.2019e+00 -2.2765e+00 +2.7463e+00 +2.8728e+00 +3.0917e+00 -4.5696e+00 -2.3245e+00 +1.2803e+00
12801 +5.322896912e+04 +5.322896912e+04 +5.326033912e+04 +5.326033912e+04 +4.5733e+00 -2.2860e+00 -4.5950e+00 +4.3730e+00 -2.5905e+00 -4.4602e+00 -2.2286e+00 -2.0929e+00 -2.1575e+00 -2.9030e+00 -1.3426e+00 -3.2086e+00 +6.3615e-02 -4.6603e+00 +4.4498e+00 +4.3706e+00 +1.0791e+00 -2.3546e+00 +2.6842e+00 +3.5888e+00
19051 +4.878410342e+04 +4.878410342e+04 +4.881547342e+04 +4.881547342e+04 +3.2478e+00 +8.5127e-01 -4.7776e+00 +3.8862e+00 -4.7591e+00 -2.3712e+00 -1.0757e+00 +4.1482e+00 +1.0226e+00 -4.4242e+00 -3.1979e+00 +2.9814e+00 -2.8497e-01 -9.5213e-01 +2.5027e+00 -1.4631e+00 -3.7332e+00 -3.7442e+00 +3.0068e+00 -1.5824e+00
21074 +3.170425258e+04 +3.170425258e+04 +3.173562258e+04 +3.173562258e+04 +2.2153e+00 -4.8914e+00 -4.3699e+00 +4.1687e+00 -4.9063e+00 -1.7888e+00 -3.5441e+00 +4.7066e+00 +1.3373e+00 -2.7140e+00 -4.0394e+00 +2.1349e+00 -2.0828e+00 +1.6204e+00 +3.7045e+00 -1.7374e+00 +2.8742e+00 -3.9033e+00 -1.5213e+00 +2.1282e+00
100887 +1.825757503e+04 +1.825757503e+04 +1.828894503e+04 +1.828894503e+04 +4.8936e+00 -2.4405e+00 -3.9027e+00 +4.0386e+00 +1.6029e+00 -1.9781e+00 -3.0414e+00 +3.6644e+00 -2.3877e-02 +2.4571e+00 -3.4085e+00 +2.2158e+00 +3.6110e+00 +1.8296e-01 +3.4358e+00 -2.7793e+00 -1.0790e+00 -9.8735e-01 -2.4739e+00 -3.1436e+00
154342 +1.615557300e+04 +1.615557300e+04 +1.618694300e+04 +1.618694300e+04 +2.8058e+00 -3.6012e+00 -4.6242e+00 +3.5145e+00 -4.3356e+00 -2.1327e+00 -3.7361e+00 +3.5537e+00 -2.8140e+00 -2.1502e+00 -1.5665e+00 +9.4298e-01 +1.2050e+00 -4.0862e-01 +3.3378e+00 +3.9101e+00 +1.9560e+00 +7.6850e-01 -1.7135e-01 -2.1180e+00
399440 +7.473188232e+03 +7.473188232e+03 +7.504558232e+03 +7.504558232e+03 +4.8140e+00 -7.8105e-01 -4.8803e+00 +3.1114e+00 -1.7219e+00 -2.5621e+00 -3.5098e+00 +4.2941e-02 -1.6219e+00 +1.2035e-01 -1.2050e+00 +1.9746e+00 +1.1521e+00 -7.8144e-01 +3.0751e+00 +8.5039e-01 +3.0454e+00 -3.1247e+00 +1.9451e+00 -2.0537e+00
1971257 +2.807561516e+03 +2.807561516e+03 +2.838931516e+03 +2.838931516e+03 +2.6772e+00 -2.4256e+00 -4.5941e+00 +3.8515e+00 -3.2002e+00 -1.0388e+00 -3.3671e+00 +4.9118e+00 -2.2283e+00 -2.3157e+00 -2.8810e+00 +3.2978e+00 +8.0912e-01 -6.5180e-01 +3.8848e+00 -8.5980e-01 +2.6306e+00 -2.6869e+00 -1.7294e+00 -4.2257e+00
5538263 +1.231489788e+03 +1.231489788e+03 +1.262859788e+03 +1.262859788e+03 +3.5742e+00 -2.4410e+00 -4.5400e+00 +4.1649e+00 -4.2381e+00 -3.2014e+00 -1.4692e+00 +2.7166e+00 -3.3522e+00 -3.4402e+00 -2.7933e+00 -6.4219e-01 +4.3569e+00 -1.6355e+00 +1.6601e+00 -1.9671e+00 +1.4640e+00 -5.4425e-01 +1.3993e+00 -8.8529e-01
26742462 +6.593617013e+02 +6.593617013e+02 +6.907317013e+02 +6.907317013e+02 +4.6337e+00 -3.5340e+00 -4.4470e+00 +3.8523e+00 -1.6609e-01 -3.8800e+00 -2.1834e+00 +3.8824e+00 -3.2169e+00 -2.8236e+00 -2.6208e+00 +3.5880e-02 +4.9834e+00 -3.2666e-02 +3.9011e+00 +1.7286e+00 +6.7715e-02 -2.7501e+00 -1.4577e+00 -3.3491e-02
28027047 +3.870451236e+02 +3.870451236e+02 +4.184151236e+02 +4.184151236e+02 +3.5974e+00 -4.8234e-01 -3.6201e+00 +2.7747e+00 -3.3885e+00 -2.5721e+00 -2.3126e+00 +4.7612e+00 -2.7453e+00 -4.9262e+00 -1.2505e+00 +5.7117e-01 +2.5129e+00 +1.4239e+00 +8.3411e-01 -8.1514e-01 +2.0114e+00 -2.7804e+00 -3.9465e+00 +2.2018e+00
62645521 +3.728295238e+02 +3.728295238e+02 +4.041995238e+02 +4.041995238e+02 +4.5606e+00 +3.1420e-01 -4.9889e+00 +4.6006e+00 -2.9515e+00 -4.7677e+00 +1.4158e+00 +4.7983e+00 +2.7118e-01 -3.6368e+00 -1.5175e+00 +4.4158e-01 +1.6892e+00 -4.1152e-01 +4.7138e+00 +4.1066e+00 +4.8947e-01 -4.2937e+00 -2.1593e+00 +4.1472e+00
103054058 +3.541242165e+02 +3.541242165e+02 +3.854942165e+02 +3.854942165e+02 +4.4253e+00 -1.5612e+00 -2.3161e+00 +4.9483e+00 -4.7541e+00 -3.7546e+00 +1.6530e-03 +4.4865e+00 -3.2340e+00 -2.2741e+00 -2.1866e+00 -2.2020e+00 +1.1675e+00 -2.2915e+00 +1.2720e+00 +2.2633e+00 +2.4270e+00 -3.6582e+00 -2.5314e-01 +2.9746e+00
119473592 +2.155134929e+02 +2.155134929e+02 +2.468834929e+02 +2.468834929e+02 +4.6671e+00 -9.4562e-01 -3.4893e+00 +4.7482e+00 -2.5059e+00 -5.7585e-01 -4.8943e+00 +3.2023e+00 -2.2729e+00 -2.7827e+00 -9.0388e-01 +2.1947e+00 -5.6168e-01 -1.6116e+00 +4.6148e+00 +2.3503e+00 +2.5979e+00 -1.8334e+00 +1.5594e+00 +1.4202e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.110102322e+06 +1.110102322e+06 +1.109102322e+06 +1.109102322e+06 -6.2475e-01 -1.2862e-01 -4.5858e+00 +3.3931e+00 -2.6812e+00 +6.0090e-01 -3.5417e+00 +3.3658e+00 -2.1303e+00 +4.1990e-01 +6.9669e-02 +2.9951e+00 +3.6821e+00 +4.1257e+00 +4.0031e+00 +3.6949e+00 -1.2052e+00 -3.9848e+00 +3.7251e+00 +1.7191e+00
3 +1.087582584e+06 +1.087582584e+06 +1.086582584e+06 +1.086582584e+06 -3.0252e+00 -6.9616e-01 +3.8099e+00 -2.3752e-01 +8.9305e-01 +2.8777e+00 -4.3633e+00 -1.8030e+00 +4.4580e+00 +8.0236e-02 -2.5474e+00 -1.5238e+00 -1.5229e-01 -1.4558e+00 -3.2635e+00 +2.6856e+00 +8.3157e-01 -1.9759e+00 -3.7201e+00 -2.2454e+00
4 +1.069776117e+06 +1.069776117e+06 +1.068776117e+06 +1.068776117e+06 -3.4561e+00 -3.2180e+00 +1.5417e+00 +4.9462e+00 +1.6362e+00 +3.3236e+00 -1.2320e+00 -3.1839e+00 -1.2388e+00 +1.8219e+00 +6.8706e-01 +2.7734e+00 -6.8728e-01 -4.8263e+00 +2.5397e+00 +1.7688e+00 -3.6533e+00 -2.4661e+00 -4.9642e+00 +6.0463e-01
7 +5.706226460e+05 +5.706226460e+05 +5.696226460e+05 +5.696226460e+05 +3.6205e+00 -2.0384e+00 -2.9480e+00 -1.2729e+00 -5.3929e-01 +3.0978e+00 +1.0799e+00 -8.6906e-01 -3.6823e+00 +4.9435e+00 -1.6188e+00 -3.8969e+00 -3.7855e-01 -4.8250e+00 +3.2929e+00 +7.9223e-01 -4.9555e+00 -2.5044e+00 -1.8863e+00 +3.4336e+00
16 +5.175664822e+05 +5.175664822e+05 +5.165664822e+05 +5.165664822e+05 -3.2782e+00 +3.9264e-01 -3.0468e+00 +4.8903e+00 -1.7898e+00 +3.0569e+00 +3.2536e+00 +1.9908e+00 +2.7860e-01 +5.9057e-01 -3.2122e+00 +3.6460e+00 -2.6961e+00 -2.9125e-01 -1.1620e+00 -5.1850e-01 +2.3319e-01 +2.3822e+00 -7.1974e-01 +1.9908e+00
19 +3.103576720e+05 +3.103576720e+05 +3.093576720e+05 +3.093576720e+05 -1.2989e+00 +4.9222e+00 -4.0893e+00 -1.1574e+00 -1.3753e+00 -3.8714e+00 -3.4827e+00 +2.1601e+00 +2.7282e-01 +3.1387e+00 +1.1161e+00 +4.6321e+00 -3.2602e+00 +6.1352e-01 +3.3542e-01 -1.8656e+00 -2.9273e+00 +3.9564e+00 -3.2856e+00 +3.6319e+00
35 +2.381433644e+05 +2.381433644e+05 +2.371433644e+05 +2.371433644e+05 +3.9540e-01 +3.5565e+00 -1.9402e+00 +1.3428e+00 -7.1919e-01 +4.4742e+00 +1.4087e+00 +2.1316e+00 -1.3242e+00 -2.0221e-01 +2.9103e+00 +2.9625e+00 -1.8201e+00 -1.2259e+00 -4.5640e+00 -4.7479e-02 +4.8302e+00 +4.1257e+00 -1.8528e-01 +3.4733e+00
136 +2.342176441e+05 +2.342176441e+05 +2.332176441e+05 +2.332176441e+05 -4.4501e-01 -2.8206e+00 -3.9550e+00 -2.8992e+00 +2.2117e+00 -2.9656e+00 +1.5759e-01 -1.8060e+00 +3.4509e+00 -1.0330e+00 +1.5717e+00 -3.6742e+00 +1.1491e+00 -3.8082e+00 -4.6582e+00 -1.7719e+00 +3.8079e-01 +9.4431e-01 -1.2248e+00 +2.1791e+00
141 +2.281985461e+05 +2.281985461e+05 +2.271985461e+05 +2.271985461e+05 -1.5921e+00 -1.9681e+00 +4.1863e-02 +3.1526e+00 -3.9257e+00 -4.5905e-01 -2.5887e+00 +2.3641e+00 +3.8723e+00 +3.2162e+00 +2.5619e+00 +7.8575e-01 -3.4406e+00 -1.3893e+00 -4.4676e+00 -1.2170e+00 -3.2039e+00 +2.6701e+00 -2.2406e+00 +2.1997e+00
378 +2.025293808e+05 +2.025293808e+05 +2.015293808e+05 +2.015293808e+05 -1.3362e+00 -1.6232e-02 +4.4743e+00 +1.2065e+00 -3.0856e-01 -1.6591e+00 -4.8963e+00 +2.1869e-01 -2.3645e+00 +4.8266e+00 +3.1184e-01 +4.8639e+00 -2.9272e+00 -3.4690e+00 -1.6210e+00 -3.1840e+00 -2.6066e+00 +4.0573e+00 -4.7228e+00 +3.2298e+00
